"id";"name"
419;"assistant to mr. morrison"
907;"assistant to mr. mosse"
897;"assistant to mr. mulhern"
1080;"assistant to mr. munderloh"
780;"assistant to mr. musser"
1102;"assistant to mr. napier"
1028;"assistant to mr. nederlander"
922;"assistant to mr. nelson"
595;"assistant to mr. ney"
1033;"assistant to mr. o'brien and ms. firth"
808;"assistant to mr. o'horgan"
413;"assistant to mr. odets"
260;"assistant to mr. oenslager"
371;"assistant to mr. oenslager (costumes)"
374;"assistant to mr. oenslager (setting)"
793;"assistant to mr. ornbo"
1585;"assistant to mr. pakledinaz"
1013;"assistant to mr. parichy"
1132;"assistant to mr. pippin"
261;"assistant to mr. preminger"
679;"assistant to mr. prince"
1823;"assistant to mr. pye"
505;"assistant to mr. quintero"
717;"assistant to mr. rabb"
921;"assistant to mr. ramone"
703;"assistant to mr. randolph"
547;"assistant to mr. redgrave"
1020;"assistant to mr. reilly"
681;"assistant to mr. reiss"
245;"assistant to mr. rice"
1174;"assistant to mr. riddell"
477;"assistant to mr. rigby"
660;"assistant to mr. ritchard"
727;"assistant to mr. ritman"
913;"assistant to mr. rittman"
430;"assistant to mr. robbins"
1081;"assistant to mr. robbins & ms. mitchell"
359;"assistant to mr. rodgers"
743;"assistant to mr. rodriguez"
455;"assistant to mr. rome"
1595;"assistant to mr. ronan"
322;"assistant to mr. rose"
988;"assistant to mr. ross"
1657;"assistant to mr. rudin"
478;"assistant to mr. saddler"
584;"assistant to mr. samrock"
604;"assistant to mr. schary"
690;"assistant to mr. schlissel"
819;"assistant to mr. schlossberg"
850;"assistant to mr. schmidt"
468;"assistant to mr. schneider"
741;"assistant to mr. scott"
879;"assistant to mr. segal"
710;"assistant to mr. senn and miss pond"
373;"assistant to mr. serlin"
695;"assistant to mr. sharmat"
746;"assistant to mr. shevelove"
332;"assistant to mr. short"
230;"assistant to mr. sillman"
782;"assistant to mr. skelton"
567;"assistant to mr. smith"
542;"assistant to mr. sorvey"
289;"assistant to mr. sovey"
549;"assistant to mr. spencer"
594;"assistant to mr. starbuck"
752;"assistant to mr. stein"
411;"assistant to mr. steinbeck"
784;"assistant to mr. stevens"
423;"assistant to mr. syrjala"
464;"assistant to mr. taylor"
715;"assistant to mr. ter-artunian"
634;"assistant to mr. ter-arutunian"
2989;"assistant to mr. ter-arutunian (costumes"
620;"assistant to mr. ter-arutunian (costumes)"
621;"assistant to mr. ter-arutunian (scenery)"
786;"assistant to mr. thompson"
718;"assistant to mr. tilton"
288;"assistant to mr. todd"
1029;"assistant to mr. torres"
818;"assistant to mr. trittipo"
770;"assistant to mr. tubans"
99;"assistant to mr. unitt"
804;"assistant to mr. voelpel"
809;"assistant to mr. wagner"
525;"assistant to mr. walker"
1059;"assistant to mr. walton"
386;"assistant to mr. weill on ballet music"
933;"assistant to mr. weiss"
799;"assistant to mr. wexler"
290;"assistant to mr. white"
872;"assistant to mr. whitehead"
418;"assistant to mr. whorf"
674;"assistant to mr. willman"
334;"assistant to mr. wilson"
393;"assistant to mr. wiman"
541;"assistant to mr. windust"
657;"assistant to mr. wittop"
781;"assistant to mr. wittstein"
1273;"assistant to mr. woolard"
1117;"assistant to mr. yeston"
1165;"assistant to mrs watson"
912;"assistant to mrs. aldredge"
358;"assistant to mrs. ballard"
755;"assistant to ms. aldredge"
560;"assistant to ms. ballard"
1850;"assistant to ms. christensen"
1006;"assistant to ms. collins"
1054;"assistant to ms. crow"
1114;"assistant to ms. dolan"
1119;"assistant to ms. fisher"
1498;"assistant to ms. gennaro"
960;"assistant to ms. greenwood"
1360;"assistant to ms. harrington"
1387;"assistant to ms. hould-ward"
1248;"assistant to ms. ishioka"
1300;"assistant to ms. katz"
1089;"assistant to ms. kim"
1125;"assistant to ms. klotz"
1039;"assistant to ms. lee"
3000;"assistant to ms. macdonald & lyrics for "
864;"assistant to ms. macdonald & lyrics for miss lenoire's songs"
1116;"assistant to ms. madeira"
1825;"assistant to ms. mortimer"
814;"assistant to ms. musser"
904;"assistant to ms. nugent"
1060;"assistant to ms. parks"
862;"assistant to ms. potts"
794;"assistant to ms. roth"
1151;"assistant to ms. ryack"
1088;"assistant to ms. tipton"
1282;"assistant to ms. von mayrhauser"
1156;"assistant to ms. winters"
859;"assistant to ms. zipprodt"
995;"assistant to mssrs. schlissel & kingwill"
1797;"assistant to nicholas martin"
512;"assistant to oliver messel"
368;"assistant to oliver smith"
354;"assistant to oscar hammerstein"
856;"assistant to patricia birch"
550;"assistant to paul morrison"
796;"assistant to peter hunt"
1247;"assistant to phillips"
1557;"assistant to producer"
892;"assistant to producers and director"
485;"assistant to raoul pene du bois"
247;"assistant to raymond sovey"
265;"assistant to robert alton"
676;"assistant to robert fletcher"
501;"assistant to robert mackintosh"
1009;"assistant to robert moore"
388;"assistant to robert sidney"
339;"assistant to robert woods"
1008;"assistant to roger l. stevens"
990;"assistant to scenic designer"
1874;"assistant to scott rudin"
963;"assistant to set designer"
303;"assistant to sgt. harry horner"
1374;"assistant to sound designer"
544;"assistant to stager"
1711;"assistant to stuart thompson"
1269;"assistant to technical supervisor"
