"id";"date_instantiated";"street_address";"address_locality";"address_region";"postal_code";"year_closed";"year_demolished";"capacity";"name"
5921;"2020-10-14 04:36:30";"";"";"";"";0;0;0;"Wood's Museum and Menagerie"
5933;"2020-10-14 04:36:30";"236 West 45th St.";"New York";"NY";"";0;0;1079;"Gerald Schoenfeld Theatre"
5934;"2020-10-14 04:36:30";"242 West 45th St.";"New York";"NY";"";0;0;1078;"Bernard B. Jacobs Theatre"
6025;"2020-10-14 04:36:30";"213 West 42nd St.";"New York";"NY";"";0;0;1839;"Hilton Theatre"
6032;"2020-10-14 04:36:30";"1 Taylor Street";"San Francisco";"CA";"";0;0;2400;"Golden Gate Theatre"
6039;"2020-10-14 04:36:30";"15 East Caracas Avenue";"Hershey";"PA";"17033";0;0;0;"Hershey Theatre"
6043;"2020-10-14 04:36:30";"910 Hennepin Avenue";"Minneapolis";"MN";"55403";0;0;0;"Orpheum Theatre"
6044;"2020-10-14 04:36:30";"151 West Randolph Street";"Chicago";"IL";"";0;0;2500;"Cadillac Palace Theatre"
6048;"2020-10-14 04:36:30";"142nd Street and Lennox";"New York";"NY";"";0;0;0;"Cotton Club"
6055;"2020-10-14 04:36:30";"22-6 West 63rd Street";"New York";"NY";"";0;1957;0;"Daly's 63rd Street Theatre"
6065;"2020-10-14 04:36:30";"";"Atlantic City";"NJ";"";0;0;0;"Nixon's Apollo Theatre"
6067;"2020-10-14 04:36:30";"";"Philadelphia";"PA";"";0;0;0;"Nixon Theatre"
6071;"2020-10-14 04:36:30";"569 Lexington Ave.";"New York";"NY";"";0;0;0;"Lexington Theatre"
6076;"2020-10-14 04:36:30";"141 W. 44th St.";"New York";"NY";"";0;0;1100;"Hudson Theatre (Broadway)"
6080;"2020-10-14 04:36:30";"";"Princeton";"NJ";"";0;0;1100;"McCarter Theatre [Mainstage]"
6084;"2020-10-14 04:36:30";"";"Stratford Upon Avon, England";"";"";0;0;1412;"Royal Shakespeare Theatre"
6086;"2020-10-14 04:36:30";"";"Los Angeles";"CA";"";0;0;0;"Music Center Pavilion"
6088;"2020-10-14 04:36:30";"70 Royal Poinciana Plaza";"Palm Beach";"FL";"";0;0;852;"Royal Poinciana Playhouse"
6102;"2020-10-14 04:36:30";"200 W. 48th St.";"New York";"NY";"";0;0;0;"Latin Quarter"
6108;"2020-10-14 04:36:30";"216 W. 44th St., Roof";"New York";"NY";"";0;1945;0;"Nora Bayes Theatre"
6126;"2020-10-14 04:36:30";"650 Geary Street";"San Francisco";"CA";"";0;0;0;"Alcazar"
6132;"2020-10-14 04:36:30";"139-41 East 55th Street";"New York";"NY";"";0;0;0;"American Music Hall"
6152;"2020-10-14 04:36:30";"226 W. 42nd St.";"New York";"NY";"";1933;0;0;"Sam H. Harris Theatre"
6187;"2020-10-14 04:36:30";"247 W. 48th St.";"New York";"NY";"";1956;1988;299;"Edyth Totten Theatre"
6220;"2020-10-14 04:36:30";"359 W. 48th St.";"New York";"NY";"";0;0;400;"Jack Lawrence Theatre"
6287;"2020-10-14 04:36:30";"";"Worcester, MA";"";"";0;0;0;"Worcester Theatre"
6288;"2020-10-14 04:36:30";"";"Indianapolis";"";"";0;0;0;"Civic Theatre"
