id,street_address,address_locality,address_region,postal_code,year_closed,year_demolished,capacity,name
5892,Broadway & 66th St.,New York,NY,NULL,NULL,NULL,NULL,Lincoln Square Theatre
5905,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tammany Grand Theatre
5906,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Wood's Museum
5921,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Wood's Museum and Menagerie
5933,236 West 45th St.,New York,NY,NULL,NULL,NULL,1079,Gerald Schoenfeld Theatre
5934,242 West 45th St.,New York,NY,NULL,NULL,NULL,1078,Bernard B. Jacobs Theatre
6025,213 West 42nd St.,New York,NY,NULL,NULL,NULL,1839,Hilton Theatre
6032,1 Taylor Street,San Francisco,CA,NULL,NULL,NULL,2400,Golden Gate Theatre
6039,15 East Caracas Avenue,Hershey,PA,17033,NULL,NULL,NULL,Hershey Theatre
6043,910 Hennepin Avenue,Minneapolis,MN,55403,NULL,NULL,NULL,Orpheum Theatre
6044,151 West Randolph Street,Chicago,IL,NULL,NULL,NULL,2500,Cadillac Palace Theatre
6048,142nd Street and Lennox,New York,NY,NULL,NULL,NULL,NULL,Cotton Club
6055,22-6 West 63rd Street,New York,NY,NULL,NULL,1957,NULL,Daly's 63rd Street Theatre
6065,NULL,Atlantic City,NJ,NULL,NULL,NULL,NULL,Nixon's Apollo Theatre
6067,NULL,Philadelphia,PA,NULL,NULL,NULL,NULL,Nixon Theatre
6071,569 Lexington Ave.,New York,NY,NULL,NULL,NULL,NULL,Lexington Theatre
6076,141 W. 44th St.,New York,NY,NULL,NULL,NULL,1100,Hudson Theatre (Broadway)
6080,NULL,Princeton,NJ,NULL,NULL,NULL,1100,McCarter Theatre [Mainstage]
6084,NULL,"Stratford Upon Avon, England",NULL,NULL,NULL,NULL,1412,Royal Shakespeare Theatre
6086,NULL,Los Angeles,CA,NULL,NULL,NULL,NULL,Music Center Pavilion
6088,70 Royal Poinciana Plaza,Palm Beach,FL,NULL,NULL,NULL,852,Royal Poinciana Playhouse
6102,200 W. 48th St.,New York,NY,NULL,NULL,NULL,NULL,Latin Quarter
6108,"216 W. 44th St., Roof",New York,NY,NULL,NULL,1945,NULL,Nora Bayes Theatre
6126,650 Geary Street,San Francisco,CA,NULL,NULL,NULL,NULL,Alcazar
6132,139-41 East 55th Street,New York,NY,NULL,NULL,NULL,NULL,American Music Hall
6152,226 W. 42nd St.,New York,NY,NULL,1933,NULL,NULL,Sam H. Harris Theatre
6187,247 W. 48th St.,New York,NY,NULL,1956,1988,299,Edyth Totten Theatre
6220,359 W. 48th St.,New York,NY,NULL,NULL,NULL,400,Jack Lawrence Theatre
6287,NULL,"Worcester, MA",NULL,NULL,NULL,NULL,NULL,Worcester Theatre
6288,NULL,Indianapolis,NULL,NULL,NULL,NULL,NULL,Civic Theatre
6296,2301 South Lake Shore Dr.,Chicago,IL,NULL,NULL,NULL,4319,Arie Crown Theatre
6315,NULL,"Wayne, NJ",NULL,NULL,NULL,NULL,NULL,William Paterson College Theatre
6324,710 Main St.,"Buffalo, NY",NULL,NULL,NULL,NULL,637,Studio Arena Theatre
6335,NULL,"East Hampton, NY",NULL,NULL,NULL,NULL,NULL,John Drew Theatre
6394,1020 Broad Street,"Newark, NJ",NULL,NULL,NULL,NULL,2880,Mosque Theatre
6396,NULL,"Detroit, MI",NULL,NULL,NULL,NULL,NULL,Cass Theatre
6398,539 Washington Street,Boston,MA,NULL,NULL,NULL,NULL,Boston Opera House
6399,135 W. San Carlos St.,"San Jose, CA",NULL,NULL,NULL,NULL,3060,Civic Auditorium
6401,NULL,"Glen Cove, NY",NULL,NULL,NULL,NULL,NULL,Northstage Theatre
6405,"511 10th Street, NW",Washington,DC,NULL,NULL,NULL,NULL,Ford's Theatre
6406,27 Front Street East,Toronto,NULL,NULL,NULL,NULL,876,Bluma Appel Theatre [St. Lawrence Centre for the Arts]
6507,NULL,"Tarrytown, NY",NULL,NULL,NULL,NULL,NULL,Music Hall
6563,NULL,NULL,NULL,NULL,NULL,NULL,NULL,O'Keefe Centre
6599,725 Vineland Place,"Minneapolis, MN",NULL,NULL,NULL,NULL,NULL,Guthrie Theatre
6600,276 Tremont Street,Boston,MA,NULL,NULL,NULL,NULL,Tremont Theatre
6622,263 W. 86th St.,New York,NY,NULL,NULL,NULL,NULL,West End Theatre
6665,NULL,New York,NY,NULL,NULL,NULL,NULL,3rd Avenue Theatre
6668,NULL,New York,NY,NULL,NULL,NULL,NULL,Columbus Theatre
6670,143 E. 14th St.,New York,NY,NULL,1928,1928,NULL,Tony Pastor's 14th Street Theatre
6696,245 W. 52nd St.,New York,NY,10019,NULL,NULL,1228,August Wilson Theatre
6755,NULL,"Montreal, Canada",NULL,NULL,NULL,NULL,NULL,Garden of Stars Expo 67
6829,NULL,New York,NY,NULL,NULL,NULL,NULL,New York Comedy Theatre
6840,1021-1029 Chestnut St.,Philadelphia,PA,NULL,NULL,NULL,NULL,Chestnut Street Opera House
6902,235 W. 49th St.,New York,NY,NULL,1940,1940,750,49th Street Theatre
