year,season,season_link,winner,actress,musical,character,actress_link,musical_link,character_link
1977,31st Tony Awards,/wiki/31st_Tony_Awards,True,Dorothy Loudon,Annie,Miss Hannigan,https://en.wikipedia.org/wiki/Dorothy_Loudon,https://en.wikipedia.org/wiki/Annie_(musical),
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Clamma Dale,Porgy and Bess,Bess,https://en.wikipedia.org/wiki/Clamma_Dale,https://en.wikipedia.org/wiki/Porgy_and_Bess,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Ernestine Jackson,Guys and Dolls,Sarah Brown,https://en.wikipedia.org/wiki/Ernestine_Jackson,https://en.wikipedia.org/wiki/Guys_and_Dolls,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Andrea McArdle,Annie,Annie,https://en.wikipedia.org/wiki/Andrea_McArdle,https://en.wikipedia.org/wiki/Annie_(musical),
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,True,Liza Minnelli,The Act,Michelle Craig,https://en.wikipedia.org/wiki/Liza_Minnelli,https://en.wikipedia.org/wiki/The_Act_(musical),
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Madeline Kahn,On the Twentieth Century,Lily Garland / Mildred Plotka,https://en.wikipedia.org/wiki/Madeline_Kahn,https://en.wikipedia.org/wiki/On_the_Twentieth_Century,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Eartha Kitt,Timbuktu!,Shaleem La Lume,https://en.wikipedia.org/wiki/Eartha_Kitt,https://en.wikipedia.org/wiki/Timbuktu!,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Frances Sternhagen,Angel,Eliza Gant,https://en.wikipedia.org/wiki/Frances_Sternhagen,https://en.wikipedia.org/wiki/Angel_(musical),
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,True,Angela Lansbury,Sweeney Todd: The Demon Barber of Fleet Street,Mrs. Lovett,https://en.wikipedia.org/wiki/Angela_Lansbury,https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street,https://en.wikipedia.org/wiki/Mrs._Lovett
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Tovah Feldshuh,Sarava,Flor,https://en.wikipedia.org/wiki/Tovah_Feldshuh,,
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Dorothy Loudon,Ballroom,Bea Asher,https://en.wikipedia.org/wiki/Dorothy_Loudon,https://en.wikipedia.org/wiki/Ballroom_(musical),
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Alexis Smith,Platinum,Lila Halliday,https://en.wikipedia.org/wiki/Alexis_Smith,https://en.wikipedia.org/wiki/Platinum_(musical),
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Sandy Duncan,Peter Pan,Peter Pan,https://en.wikipedia.org/wiki/Sandy_Duncan,https://en.wikipedia.org/wiki/Peter_Pan_(1954_musical),https://en.wikipedia.org/wiki/Peter_Pan
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Ann Miller,Sugar Babies,Ann,https://en.wikipedia.org/wiki/Ann_Miller,https://en.wikipedia.org/wiki/Sugar_Babies_(musical),
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Christine Andreas,Oklahoma!,Laurey Williams,https://en.wikipedia.org/wiki/Christine_Andreas,https://en.wikipedia.org/wiki/Oklahoma!,
1980,34th Tony Awards,/wiki/34th_Tony_Awards,True,Patti LuPone,Evita,Eva Perón,https://en.wikipedia.org/wiki/Patti_LuPone,https://en.wikipedia.org/wiki/Evita_(musical),https://en.wikipedia.org/wiki/Eva_Per%C3%B3n
1981,35th Tony Awards,/wiki/35th_Tony_Awards,True,Lauren Bacall,Woman of the Year,Tess Harding,https://en.wikipedia.org/wiki/Lauren_Bacall,https://en.wikipedia.org/wiki/Woman_of_the_Year_(musical),
