year,season,season_link,winner,musical,musical_link,book,book_link,music,music_link,lyrics,lyrics_link
2010,64th Tony Awards,/wiki/64th_Tony_Awards,True,La Cage aux Folles,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical),Harvey Fierstein,https://en.wikipedia.org/wiki/Harvey_Fierstein,Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman,Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Finian's Rainbow,https://en.wikipedia.org/wiki/Finian%27s_Rainbow,Yip Harburg&Fred Saidy,https://en.wikipedia.org/wiki/Yip_Harburg,Burton Lane,https://en.wikipedia.org/wiki/Burton_Lane,Harburg,
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,A Little Night Music,https://en.wikipedia.org/wiki/A_Little_Night_Music,Hugh Wheeler,https://en.wikipedia.org/wiki/Hugh_Wheeler,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Ragtime,https://en.wikipedia.org/wiki/Ragtime_(musical),Terrence McNally,https://en.wikipedia.org/wiki/Terrence_McNally,Stephen Flaherty,https://en.wikipedia.org/wiki/Stephen_Flaherty,Lynn Ahrens,https://en.wikipedia.org/wiki/Lynn_Ahrens
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,How to Succeed in Business Without Really Trying,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying_(musical),"Abe Burrows,Willie Gilbert, &Jack Weinstock",https://en.wikipedia.org/wiki/Abe_Burrows,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser
2011,65th Tony Awards,/wiki/65th_Tony_Awards,True,Anything Goes,https://en.wikipedia.org/wiki/Anything_Goes,Guy Bolton&P. G. Wodehouse,https://en.wikipedia.org/wiki/Guy_Bolton,Cole Porter,https://en.wikipedia.org/wiki/Cole_Porter,Cole Porter,https://en.wikipedia.org/wiki/Cole_Porter
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Jesus Christ Superstar,https://en.wikipedia.org/wiki/Jesus_Christ_Superstar,Rice,,Webber,,Rice,
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Follies,https://en.wikipedia.org/wiki/Follies,James Goldman,https://en.wikipedia.org/wiki/James_Goldman,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
2012,66th Tony Awards,/wiki/66th_Tony_Awards,True,Porgy and Bess,https://en.wikipedia.org/wiki/Porgy_and_Bess,DuBose Heyward,https://en.wikipedia.org/wiki/DuBose_Heyward,George Gershwin,https://en.wikipedia.org/wiki/George_Gershwin,Heyward &Ira Gershwin,https://en.wikipedia.org/wiki/Ira_Gershwin
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Evita,https://en.wikipedia.org/wiki/Evita_(musical),Tim Rice,https://en.wikipedia.org/wiki/Tim_Rice,Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,Rice,
2013,67th Tony Awards,/wiki/67th_Tony_Awards,True,Pippin,https://en.wikipedia.org/wiki/Pippin_(musical),Roger O. Hirson,https://en.wikipedia.org/wiki/Roger_O._Hirson,Stephen Schwartz,https://en.wikipedia.org/wiki/Stephen_Schwartz_(composer),Stephen Schwartz,https://en.wikipedia.org/wiki/Stephen_Schwartz_(composer)
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Annie,https://en.wikipedia.org/wiki/Annie_(musical),Thomas Meehan,https://en.wikipedia.org/wiki/Thomas_Meehan_(writer),Charles Strouse,https://en.wikipedia.org/wiki/Charles_Strouse,Martin Charnin,https://en.wikipedia.org/wiki/Martin_Charnin
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,The Mystery of Edwin Drood,https://en.wikipedia.org/wiki/Drood,Rupert Holmes,https://en.wikipedia.org/wiki/Rupert_Holmes,Rupert Holmes,https://en.wikipedia.org/wiki/Rupert_Holmes,Rupert Holmes,https://en.wikipedia.org/wiki/Rupert_Holmes
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Cinderella,https://en.wikipedia.org/wiki/Cinderella_(2013_Broadway_production),Douglas Carter Beane&Oscar Hammerstein II,https://en.wikipedia.org/wiki/Douglas_Carter_Beane,Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers,Hammerstein,
