year,season,season_link,winner,actor,actor_link,role,role_link,play,play_link
1989,1989,/wiki/43rd_Tony_Awards,False,Mikhail Baryshnikov,https://en.wikipedia.org/wiki/Mikhail_Baryshnikov,Gregor Samsa,,Metamorphosis,https://en.wikipedia.org/wiki/The_Metamorphosis
1989,1989,/wiki/43rd_Tony_Awards,False,Victor Garber,https://en.wikipedia.org/wiki/Victor_Garber,Max,,Lend Me a Tenor,
1989,1989,/wiki/43rd_Tony_Awards,False,Bill Irwin,https://en.wikipedia.org/wiki/Bill_Irwin,The Post-Modern Hoofer,,Largely New York,
1990,1990,/wiki/44th_Tony_Awards,False,Dustin Hoffman,https://en.wikipedia.org/wiki/Dustin_Hoffman,Shylock,https://en.wikipedia.org/wiki/Shylock,The Merchant of Venice,https://en.wikipedia.org/wiki/The_Merchant_of_Venice
1990,1990,/wiki/44th_Tony_Awards,False,Tom Hulce,https://en.wikipedia.org/wiki/Tom_Hulce,"LieutenantDaniel Kaffee,USN,JAG Corps",https://en.wikipedia.org/wiki/Lieutenant_(junior_grade),A Few Good Men,https://en.wikipedia.org/wiki/A_Few_Good_Men_(play)
1990,1990,/wiki/44th_Tony_Awards,True,Robert Morse,https://en.wikipedia.org/wiki/Robert_Morse,Truman Capote,https://en.wikipedia.org/wiki/Truman_Capote,Tru,https://en.wikipedia.org/wiki/Tru_(play)
1990,1990,/wiki/44th_Tony_Awards,False,Charles S. Dutton,https://en.wikipedia.org/wiki/Charles_S._Dutton,Boy Willie,,The Piano Lesson,https://en.wikipedia.org/wiki/The_Piano_Lesson
1991,1991,/wiki/45th_Tony_Awards,True,Nigel Hawthorne,https://en.wikipedia.org/wiki/Nigel_Hawthorne,C.S. Lewis,https://en.wikipedia.org/wiki/C.S._Lewis,Shadowlands,https://en.wikipedia.org/wiki/Shadowlands_(play)
1991,1991,/wiki/45th_Tony_Awards,False,Peter Frechette,https://en.wikipedia.org/wiki/Peter_Frechette,2nd Lieutenant Ralph Clark,,Our Country's Good,https://en.wikipedia.org/wiki/Our_Country%27s_Good
1991,1991,/wiki/45th_Tony_Awards,False,Tom McGowan,https://en.wikipedia.org/wiki/Tom_McGowan,Valere,,La Bête,https://en.wikipedia.org/wiki/La_B%C3%AAte_(play)
1991,1991,/wiki/45th_Tony_Awards,False,Courtney B. Vance,https://en.wikipedia.org/wiki/Courtney_B._Vance,Paul,,Six Degrees of Separation,https://en.wikipedia.org/wiki/Six_Degrees_of_Separation_(play)
1992,1992,/wiki/46th_Tony_Awards,False,Brian Bedford,https://en.wikipedia.org/wiki/Brian_Bedford,William Charles Macready,,Two Shakespearean Actors,
1992,1992,/wiki/46th_Tony_Awards,True,Judd Hirsch,https://en.wikipedia.org/wiki/Judd_Hirsch,Eddie,,Conversations with My Father,https://en.wikipedia.org/wiki/Conversations_with_My_Father
1992,1992,/wiki/46th_Tony_Awards,False,Alan Alda,https://en.wikipedia.org/wiki/Alan_Alda,Jake,,Jake's Women,https://en.wikipedia.org/wiki/Jake%27s_Women
1992,1992,/wiki/46th_Tony_Awards,False,Alec Baldwin,https://en.wikipedia.org/wiki/Alec_Baldwin,Stanley Kowalski,https://en.wikipedia.org/wiki/Stanley_Kowalski,A Streetcar Named Desire,https://en.wikipedia.org/wiki/A_Streetcar_Named_Desire_(play)
1993,1993,/wiki/47th_Tony_Awards,False,Stephen Rea,https://en.wikipedia.org/wiki/Stephen_Rea,Edward,,Someone Who'll Watch Over Me,https://en.wikipedia.org/wiki/Someone_Who%27ll_Watch_Over_Me
1993,1993,/wiki/47th_Tony_Awards,False,Liam Neeson,https://en.wikipedia.org/wiki/Liam_Neeson,Mat Burke,,Anna Christie,https://en.wikipedia.org/wiki/Anna_Christie
1993,1993,/wiki/47th_Tony_Awards,True,Ron Leibman,https://en.wikipedia.org/wiki/Ron_Leibman,"Roy Cohn,et al.",https://en.wikipedia.org/wiki/Roy_Cohn,Angels in America: Millennium Approaches,https://en.wikipedia.org/wiki/Angels_in_America:_A_Gay_Fantasia_on_National_Themes
