year,season,season_link,winner,director,director_link,production,production_link
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,True,Richard Maltby Jr.,https://en.wikipedia.org/wiki/Richard_Maltby_Jr.,Ain't Misbehavin'†,https://en.wikipedia.org/wiki/Ain%27t_Misbehavin%27_(musical)
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,True,Harold Prince,https://en.wikipedia.org/wiki/Harold_Prince,Sweeney Todd: The Demon Barber of Fleet Street†,https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Michael Bennett,https://en.wikipedia.org/wiki/Michael_Bennett_(theater),Ballroom,https://en.wikipedia.org/wiki/Ballroom_(musical)
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Peter MastersonandTommy Tune,https://en.wikipedia.org/wiki/Peter_Masterson,The Best Little Whorehouse in Texas,https://en.wikipedia.org/wiki/The_Best_Little_Whorehouse_in_Texas
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Robert Moore,https://en.wikipedia.org/wiki/Robert_Moore_(director),They're Playing Our Song,https://en.wikipedia.org/wiki/They%27re_Playing_Our_Song
1980,34th Tony Awards,/wiki/34th_Tony_Awards,True,Harold Prince,https://en.wikipedia.org/wiki/Harold_Prince,Evita†,https://en.wikipedia.org/wiki/Evita_(musical)
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Ernest Flatt and Rudy Tronto,,Sugar Babies,https://en.wikipedia.org/wiki/Sugar_Babies_(musical)
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Joe Layton,https://en.wikipedia.org/wiki/Joe_Layton,Barnum,https://en.wikipedia.org/wiki/Barnum_(musical)
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Tommy Tune,https://en.wikipedia.org/wiki/Tommy_Tune,A Day in Hollywood / A Night in the Ukraine,https://en.wikipedia.org/wiki/A_Day_in_Hollywood_/_A_Night_in_the_Ukraine
1981,35th Tony Awards,/wiki/35th_Tony_Awards,True,Wilford Leach,https://en.wikipedia.org/wiki/Wilford_Leach,The Pirates of Penzance,https://en.wikipedia.org/wiki/The_Pirates_of_Penzance
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Gower Champion,https://en.wikipedia.org/wiki/Gower_Champion,42nd Street†,https://en.wikipedia.org/wiki/42nd_Street_(musical)
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Robert Moore,https://en.wikipedia.org/wiki/Robert_Moore_(director),Woman of the Year,https://en.wikipedia.org/wiki/Woman_of_the_Year_(musical)
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Michael Smuin,https://en.wikipedia.org/wiki/Michael_Smuin,Sophisticated Ladies,https://en.wikipedia.org/wiki/Sophisticated_Ladies
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Tony Tanner,https://en.wikipedia.org/wiki/Tony_Tanner,Joseph and the Amazing Technicolor Dreamcoat,https://en.wikipedia.org/wiki/Joseph_and_the_Amazing_Technicolor_Dreamcoat
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Martin Charnin,https://en.wikipedia.org/wiki/Martin_Charnin,The First,https://en.wikipedia.org/wiki/The_First_(musical)
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Michael Bennett,https://en.wikipedia.org/wiki/Michael_Bennett_(theater),Dreamgirls,https://en.wikipedia.org/wiki/Dreamgirls_(musical)
1982,36th Tony Awards,/wiki/36th_Tony_Awards,True,Tommy Tune,https://en.wikipedia.org/wiki/Tommy_Tune,Nine†,https://en.wikipedia.org/wiki/Nine_(musical)
1983,37th Tony Awards,/wiki/37th_Tony_Awards,True,Trevor Nunn,https://en.wikipedia.org/wiki/Trevor_Nunn,Cats†,https://en.wikipedia.org/wiki/Cats_(musical)
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Michael Kahn,https://en.wikipedia.org/wiki/Michael_Kahn_(theatre_director),Show Boat,https://en.wikipedia.org/wiki/Show_Boat
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Ivan Reitman,https://en.wikipedia.org/wiki/Ivan_Reitman,Merlin,https://en.wikipedia.org/wiki/Merlin_(musical)
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Tommy TuneandThommie Walsh,https://en.wikipedia.org/wiki/Tommy_Tune,My One and Only,https://en.wikipedia.org/wiki/My_One_and_Only_(musical)
1984,38th Tony Awards,/wiki/38th_Tony_Awards,True,Arthur Laurents,https://en.wikipedia.org/wiki/Arthur_Laurents,La Cage aux Folles†,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical)
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,James Lapine,https://en.wikipedia.org/wiki/James_Lapine,Sunday in the Park with George,https://en.wikipedia.org/wiki/Sunday_in_the_Park_with_George
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Richard Maltby Jr.,https://en.wikipedia.org/wiki/Richard_Maltby_Jr.,Baby,https://en.wikipedia.org/wiki/Baby_(musical)
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Vivian Matalon,https://en.wikipedia.org/wiki/Vivian_Matalon,The Tap Dance Kid,https://en.wikipedia.org/wiki/The_Tap_Dance_Kid
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Harold Prince,https://en.wikipedia.org/wiki/Harold_Prince,Grind,https://en.wikipedia.org/wiki/Grind_(musical)
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Mitch Leigh,https://en.wikipedia.org/wiki/Mitch_Leigh,The King and I,https://en.wikipedia.org/wiki/The_King_and_I
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Barbara Damashek,,Quilters,https://en.wikipedia.org/wiki/Quilters_(musical)
1985,39th Tony Awards,/wiki/39th_Tony_Awards,True,Des McAnuff,https://en.wikipedia.org/wiki/Des_McAnuff,Big River†,https://en.wikipedia.org/wiki/Big_River_(musical)
1986,40th Tony Awards,/wiki/40th_Tony_Awards,True,Wilford Leach,https://en.wikipedia.org/wiki/Wilford_Leach,The Mystery of Edwin Drood†,https://en.wikipedia.org/wiki/Drood
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Bob Fosse,https://en.wikipedia.org/wiki/Bob_Fosse,Big Deal,https://en.wikipedia.org/wiki/Big_Deal_(musical)
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Hector Orezzoli and Claudio Segovia,,Tango Argentino,https://en.wikipedia.org/wiki/Tango_Argentino_(musical)
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Richard Maltby Jr.,https://en.wikipedia.org/wiki/Richard_Maltby_Jr.,Song and Dance,https://en.wikipedia.org/wiki/Song_and_Dance
1987,41st Tony Awards,/wiki/41st_Tony_Awards,True,John CairdandTrevor Nunn,https://en.wikipedia.org/wiki/John_Caird_(director),Les Misérables†,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(musical)
