year,season,season_link,winner,musical,musical_link,book,book_link,music,music_link,lyrics,lyrics_link
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Sweet Charity,https://en.wikipedia.org/wiki/Sweet_Charity,Neil Simon,https://en.wikipedia.org/wiki/Neil_Simon,Cy Coleman,https://en.wikipedia.org/wiki/Cy_Coleman,Dorothy Fields,https://en.wikipedia.org/wiki/Dorothy_Fields
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Skyscraper,https://en.wikipedia.org/wiki/Skyscraper_(musical),Peter Stone,https://en.wikipedia.org/wiki/Peter_Stone,Jimmy Van Heusen,https://en.wikipedia.org/wiki/Jimmy_Van_Heusen,Sammy Cahn,https://en.wikipedia.org/wiki/Sammy_Cahn
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Mame,https://en.wikipedia.org/wiki/Mame_(musical),Jerome Lawrence&Robert E. Lee,https://en.wikipedia.org/wiki/Jerome_Lawrence,Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman,Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman
1966,20th Tony Awards,/wiki/20th_Tony_Awards,True,Man of La Mancha,https://en.wikipedia.org/wiki/Man_of_La_Mancha,Dale Wasserman,https://en.wikipedia.org/wiki/Dale_Wasserman,Mitch Leigh,https://en.wikipedia.org/wiki/Mitch_Leigh,Joe Darion,https://en.wikipedia.org/wiki/Joe_Darion
1967,21st Tony Awards,/wiki/21st_Tony_Awards,True,Cabaret,https://en.wikipedia.org/wiki/Cabaret_(musical),Joe Masteroff,https://en.wikipedia.org/wiki/Joe_Masteroff,John Kander,https://en.wikipedia.org/wiki/John_Kander,Fred Ebb,https://en.wikipedia.org/wiki/Fred_Ebb
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,I Do! I Do!,https://en.wikipedia.org/wiki/I_Do!_I_Do!,Tom Jones,https://en.wikipedia.org/wiki/Tom_Jones_(writer),Harvey Schmidt,https://en.wikipedia.org/wiki/Harvey_Schmidt,Jones,
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,The Apple Tree,https://en.wikipedia.org/wiki/The_Apple_Tree,Jerry Bock&Sheldon Harnick,https://en.wikipedia.org/wiki/Jerry_Bock,Bock,,Harnick,
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Walking Happy,https://en.wikipedia.org/wiki/Walking_Happy,Ketti Frings&Roger O. Hirson,https://en.wikipedia.org/wiki/Ketti_Frings,Jimmy Van Heusen,https://en.wikipedia.org/wiki/Jimmy_Van_Heusen,Sammy Cahn,https://en.wikipedia.org/wiki/Sammy_Cahn
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,True,"Hallelujah, Baby!","https://en.wikipedia.org/wiki/Hallelujah,_Baby!",Arthur Laurents,https://en.wikipedia.org/wiki/Arthur_Laurents,Jule Styne,https://en.wikipedia.org/wiki/Jule_Styne,Betty Comden&Adolph Green,https://en.wikipedia.org/wiki/Betty_Comden
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,The Happy Time,https://en.wikipedia.org/wiki/The_Happy_Time_(musical),N. Richard Nash,https://en.wikipedia.org/wiki/N._Richard_Nash,John Kander,https://en.wikipedia.org/wiki/John_Kander,Fred Ebb,https://en.wikipedia.org/wiki/Fred_Ebb
