year,season,season_link,winner,designer,designer_link,production,production_link,award type
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Richard Nelson,https://en.wikipedia.org/wiki/Richard_Nelson_(lighting_designer),Into the Woods,https://en.wikipedia.org/wiki/Into_the_Woods,
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Andy Phillips,,M. Butterfly,https://en.wikipedia.org/wiki/M._Butterfly,
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,True,Jennifer Tipton,https://en.wikipedia.org/wiki/Jennifer_Tipton,Jerome Robbins' Broadway,https://en.wikipedia.org/wiki/Jerome_Robbins%27_Broadway,
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Neil Peter Jampolisand Jane Reisman,https://en.wikipedia.org/wiki/Neil_Peter_Jampolis,Black and Blue,https://en.wikipedia.org/wiki/Black_and_Blue_(musical),
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Brian Nason,,Metamorphoses,https://en.wikipedia.org/wiki/Metamorphoses_(play),
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Nancy Schertler,,Largely New York,,
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Kevin Rigdon,https://en.wikipedia.org/wiki/Kevin_Rigdon,The Grapes of Wrath,https://en.wikipedia.org/wiki/The_Grapes_of_Wrath_(play),
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Neil Peter JampolisandPaul Pyant,https://en.wikipedia.org/wiki/Neil_Peter_Jampolis,Orpheus Descending,https://en.wikipedia.org/wiki/Orpheus_Descending,
1990,44th Tony Awards,/wiki/44th_Tony_Awards,True,Jules Fisher,https://en.wikipedia.org/wiki/Jules_Fisher,Grand Hotel,https://en.wikipedia.org/wiki/Grand_Hotel_(musical),
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Paul Gallo,https://en.wikipedia.org/wiki/Paul_Gallo,City of Angels,https://en.wikipedia.org/wiki/City_of_Angels_(musical),
1991,45th Tony Awards,/wiki/45th_Tony_Awards,True,Jules Fisher,https://en.wikipedia.org/wiki/Jules_Fisher,The Will Rogers Follies,https://en.wikipedia.org/wiki/The_Will_Rogers_Follies,
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,David Hersey,https://en.wikipedia.org/wiki/David_Hersey,Miss Saigon,https://en.wikipedia.org/wiki/Miss_Saigon,
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Allen Lee Hughes,,Once on This Island,https://en.wikipedia.org/wiki/Once_on_This_Island,
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Jennifer Tipton,https://en.wikipedia.org/wiki/Jennifer_Tipton,La Bête,https://en.wikipedia.org/wiki/La_B%C3%AAte_(play),
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Richard Pilbrow,https://en.wikipedia.org/wiki/Richard_Pilbrow,Four Baboons Adoring the Sun,,
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Paul Gallo,https://en.wikipedia.org/wiki/Paul_Gallo,Guys and Dolls,https://en.wikipedia.org/wiki/Guys_and_Dolls,
1992,46th Tony Awards,/wiki/46th_Tony_Awards,True,Jules Fisher,https://en.wikipedia.org/wiki/Jules_Fisher,Jelly's Last Jam,https://en.wikipedia.org/wiki/Jelly%27s_Last_Jam,
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Paul Gallo,https://en.wikipedia.org/wiki/Paul_Gallo,Crazy for You,https://en.wikipedia.org/wiki/Crazy_for_You_(musical),
1993,47th Tony Awards,/wiki/47th_Tony_Awards,True,Chris Parry,https://en.wikipedia.org/wiki/Chris_Parry_(lighting_designer),The Who's Tommy,https://en.wikipedia.org/wiki/The_Who%27s_Tommy,
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Howell Binkley,https://en.wikipedia.org/wiki/Howell_Binkley,Kiss of the Spider Woman,https://en.wikipedia.org/wiki/Kiss_of_the_Spider_Woman_(musical),
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Jules Fisher,https://en.wikipedia.org/wiki/Jules_Fisher,Angels in America: Millennium Approaches,https://en.wikipedia.org/wiki/Angels_in_America:_A_Gay_Fantasia_on_National_Themes,
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Dennis Parichy,https://en.wikipedia.org/wiki/Dennis_Parichy,Redwood Curtain,https://en.wikipedia.org/wiki/Redwood_Curtain,
1994,48th Tony Awards,/wiki/48th_Tony_Awards,True,Rick Fisher,https://en.wikipedia.org/wiki/Rick_Fisher_(lighting_designer),An Inspector Calls,https://en.wikipedia.org/wiki/An_Inspector_Calls,
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Beverly Emmons,https://en.wikipedia.org/wiki/Beverly_Emmons,Passion,https://en.wikipedia.org/wiki/Passion_(musical),
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Jules Fisher,https://en.wikipedia.org/wiki/Jules_Fisher,Angels in America: Perestroika,https://en.wikipedia.org/wiki/Angels_in_America:_A_Gay_Fantasia_on_National_Themes,
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Natasha Katz,https://en.wikipedia.org/wiki/Natasha_Katz,Beauty and the Beast,https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(musical),
1995,49th Tony Awards,/wiki/49th_Tony_Awards,True,Andrew Bridge,https://en.wikipedia.org/wiki/Andrew_Bridge_(lighting_designer),Sunset Boulevard,https://en.wikipedia.org/wiki/Sunset_Boulevard_(musical),
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Beverly Emmons,https://en.wikipedia.org/wiki/Beverly_Emmons,The Heiress,https://en.wikipedia.org/wiki/The_Heiress_(1947_play),
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Mark Henderson,https://en.wikipedia.org/wiki/Mark_Henderson_(lighting_designer),Indiscretions,https://en.wikipedia.org/wiki/Les_Parents_terribles,
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Paul Pyant,https://en.wikipedia.org/wiki/Paul_Pyant,Arcadia,https://en.wikipedia.org/wiki/Arcadia_(play),
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Nigel Levings,https://en.wikipedia.org/wiki/Nigel_Levings,The King and I,https://en.wikipedia.org/wiki/The_King_and_I,
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Blake Burba,,Rent,https://en.wikipedia.org/wiki/Rent_(musical),
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Christopher Akerlind,https://en.wikipedia.org/wiki/Christopher_Akerlind,Seven Guitars,https://en.wikipedia.org/wiki/Seven_Guitars,
1996,50th Tony Awards,/wiki/50th_Tony_Awards,True,Peggy EisenhauerandJules Fisher,https://en.wikipedia.org/wiki/Peggy_Eisenhauer,Bring in 'da Noise/Bring in 'da Funk,https://en.wikipedia.org/wiki/Bring_in_%27da_Noise/Bring_in_%27da_Funk,
1997,51st Tony Awards,/wiki/51st_Tony_Awards,True,Ken Billington,https://en.wikipedia.org/wiki/Ken_Billington,Chicago,https://en.wikipedia.org/wiki/Chicago_(musical),
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Beverly Emmons,https://en.wikipedia.org/wiki/Beverly_Emmons,Jekyll and Hyde,https://en.wikipedia.org/wiki/Jekyll_and_Hyde_(musical),
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Donald Holder,https://en.wikipedia.org/wiki/Donald_Holder,Juan Darién,https://en.wikipedia.org/wiki/Juan_Dari%C3%A9n:_A_Carnival_Mass_(score),
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Richard Pilbrow,https://en.wikipedia.org/wiki/Richard_Pilbrow,The Life,https://en.wikipedia.org/wiki/The_Life_(musical),
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,True,Donald Holder,https://en.wikipedia.org/wiki/Donald_Holder,The Lion King,https://en.wikipedia.org/wiki/The_Lion_King_(musical),
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Paul Anderson,,The Chairs,https://en.wikipedia.org/wiki/The_Chairs,
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Mike Baldassari andPeggy Eisenhauer,https://en.wikipedia.org/wiki/Peggy_Eisenhauer,Cabaret,https://en.wikipedia.org/wiki/Cabaret_(musical),
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Peggy EisenhauerandJules Fisher,https://en.wikipedia.org/wiki/Peggy_Eisenhauer,Ragtime,https://en.wikipedia.org/wiki/Ragtime_(musical),
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,True,Andrew Bridge,https://en.wikipedia.org/wiki/Andrew_Bridge_(lighting_designer),Fosse,https://en.wikipedia.org/wiki/Fosse_(musical),
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Mark Henderson,https://en.wikipedia.org/wiki/Mark_Henderson_(lighting_designer),The Iceman Cometh,https://en.wikipedia.org/wiki/The_Iceman_Cometh,
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Natasha Katz,https://en.wikipedia.org/wiki/Natasha_Katz,Twelfth Night,https://en.wikipedia.org/wiki/Twelfth_Night,
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Chris Parry,https://en.wikipedia.org/wiki/Chris_Parry_(lighting_designer),Not About Nightingales,https://en.wikipedia.org/wiki/Not_About_Nightingales,
