year,season,season_link,winner,director,director_link,production,production_link
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,True,Garry Hynes,https://en.wikipedia.org/wiki/Garry_Hynes,The Beauty Queen of Leenane,https://en.wikipedia.org/wiki/The_Beauty_Queen_of_Leenane
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,True,Robert Falls,https://en.wikipedia.org/wiki/Robert_Falls,Death of a Salesman,https://en.wikipedia.org/wiki/Death_of_a_Salesman
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Howard Davies,https://en.wikipedia.org/wiki/Howard_Davies_(director),The Iceman Cometh,https://en.wikipedia.org/wiki/The_Iceman_Cometh
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Garry Hynes,https://en.wikipedia.org/wiki/Garry_Hynes,The Lonesome West,https://en.wikipedia.org/wiki/The_Lonesome_West
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Trevor Nunn,https://en.wikipedia.org/wiki/Trevor_Nunn,Not About Nightingales,https://en.wikipedia.org/wiki/Not_About_Nightingales
2000,54th Tony Awards,/wiki/54th_Tony_Awards,True,Michael Blakemore,https://en.wikipedia.org/wiki/Michael_Blakemore,Copenhagen,https://en.wikipedia.org/wiki/Copenhagen_(play)
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,James Lapine,https://en.wikipedia.org/wiki/James_Lapine,Dirty Blonde,https://en.wikipedia.org/wiki/Dirty_Blonde_(play)
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,David Leveaux,https://en.wikipedia.org/wiki/David_Leveaux,The Real Thing,https://en.wikipedia.org/wiki/The_Real_Thing_(play)
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Matthew Warchus,https://en.wikipedia.org/wiki/Matthew_Warchus,True West,https://en.wikipedia.org/wiki/True_West_(play)
2001,55th Tony Awards,/wiki/55th_Tony_Awards,True,Daniel J. Sullivan,https://en.wikipedia.org/wiki/Daniel_J._Sullivan,Proof,https://en.wikipedia.org/wiki/Proof_(play)
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Marion McClinton,https://en.wikipedia.org/wiki/Marion_McClinton,King Hedley II,https://en.wikipedia.org/wiki/King_Hedley_II
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Ian McElhinney,https://en.wikipedia.org/wiki/Ian_McElhinney,Stones in His Pockets,https://en.wikipedia.org/wiki/Stones_in_His_Pockets
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Jack O'Brien,https://en.wikipedia.org/wiki/Jack_O%27Brien_(director),The Invention of Love,https://en.wikipedia.org/wiki/The_Invention_of_Love
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Daniel J. Sullivan,https://en.wikipedia.org/wiki/Daniel_J._Sullivan,Morning's at Seven,https://en.wikipedia.org/wiki/Morning%27s_at_Seven
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Richard Eyre,https://en.wikipedia.org/wiki/Richard_Eyre,The Crucible,https://en.wikipedia.org/wiki/The_Crucible
2002,56th Tony Awards,/wiki/56th_Tony_Awards,True,Mary Zimmerman,https://en.wikipedia.org/wiki/Mary_Zimmerman,Metamorphoses,https://en.wikipedia.org/wiki/Metamorphoses_(play)
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Howard Davies,https://en.wikipedia.org/wiki/Howard_Davies_(director),Private Lives,https://en.wikipedia.org/wiki/Private_Lives
2003,57th Tony Awards,/wiki/57th_Tony_Awards,True,Joe Mantello,https://en.wikipedia.org/wiki/Joe_Mantello,Take Me Out,https://en.wikipedia.org/wiki/Take_Me_Out_(play)
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Laurence Boswell,https://en.wikipedia.org/wiki/Laurence_Boswell,A Day in the Death of Joe Egg,https://en.wikipedia.org/wiki/A_Day_in_the_Death_of_Joe_Egg
