year,season,season_link,winner,author,author_link,production,production_link
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,True,James Lapine,https://en.wikipedia.org/wiki/James_Lapine,Into the Woods,https://en.wikipedia.org/wiki/Into_the_Woods
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Lee Breuer,https://en.wikipedia.org/wiki/Lee_Breuer,The Gospel at Colonus,https://en.wikipedia.org/wiki/The_Gospel_at_Colonus
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Barry Harman,,Romance/Romance,https://en.wikipedia.org/wiki/Romance/Romance
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Richard Stilgoe&Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Richard_Stilgoe,The Phantom of the Opera,https://en.wikipedia.org/wiki/The_Phantom_of_the_Opera_(1986_musical)
1990,44th Tony Awards,/wiki/44th_Tony_Awards,True,Larry Gelbart,https://en.wikipedia.org/wiki/Larry_Gelbart,City of Angels,https://en.wikipedia.org/wiki/City_of_Angels_(musical)
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Luther Davis,https://en.wikipedia.org/wiki/Luther_Davis,Grand Hotel,https://en.wikipedia.org/wiki/Grand_Hotel_(musical)
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,Aspects of Love,https://en.wikipedia.org/wiki/Aspects_of_Love
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Hugh Wheeler,https://en.wikipedia.org/wiki/Hugh_Wheeler,Meet Me in St. Louis,https://en.wikipedia.org/wiki/Meet_Me_in_St._Louis_(musical)
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Alain Boublil&Claude-Michel Schönberg,https://en.wikipedia.org/wiki/Alain_Boublil,Miss Saigon,https://en.wikipedia.org/wiki/Miss_Saigon
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Peter Stone,https://en.wikipedia.org/wiki/Peter_Stone,The Will Rogers Follies,https://en.wikipedia.org/wiki/The_Will_Rogers_Follies
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Lynn Ahrens,https://en.wikipedia.org/wiki/Lynn_Ahrens,Once on This Island,https://en.wikipedia.org/wiki/Once_on_This_Island
1991,45th Tony Awards,/wiki/45th_Tony_Awards,True,Marsha Norman,https://en.wikipedia.org/wiki/Marsha_Norman,The Secret Garden,https://en.wikipedia.org/wiki/The_Secret_Garden_(musical)
1992,46th Tony Awards,/wiki/46th_Tony_Awards,True,William Finn&James Lapine,https://en.wikipedia.org/wiki/William_Finn,Falsettos,https://en.wikipedia.org/wiki/Falsettos
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Ken Ludwig,https://en.wikipedia.org/wiki/Ken_Ludwig,Crazy for You,https://en.wikipedia.org/wiki/Crazy_for_You_(musical)
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Clarke Peters,https://en.wikipedia.org/wiki/Clarke_Peters,Five Guys Named Moe,https://en.wikipedia.org/wiki/Five_Guys_Named_Moe
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,George C. Wolfe,https://en.wikipedia.org/wiki/George_C._Wolfe,Jelly's Last Jam,https://en.wikipedia.org/wiki/Jelly%27s_Last_Jam
1993,47th Tony Awards,/wiki/47th_Tony_Awards,True,Terrence McNally,https://en.wikipedia.org/wiki/Terrence_McNally,Kiss of the Spider Woman,https://en.wikipedia.org/wiki/Kiss_of_the_Spider_Woman_(musical)
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Peter Kellogg,https://en.wikipedia.org/wiki/Peter_Kellogg_(writer),Anna Karenina,https://en.wikipedia.org/wiki/Anna_Karenina_(musical)
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Des McAnuff&Pete Townshend,https://en.wikipedia.org/wiki/Des_McAnuff,The Who's Tommy,https://en.wikipedia.org/wiki/The_Who%27s_Tommy
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Willy Russell,https://en.wikipedia.org/wiki/Willy_Russell,Blood Brothers,https://en.wikipedia.org/wiki/Blood_Brothers_(musical)
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Linda Woolverton,https://en.wikipedia.org/wiki/Linda_Woolverton,Beauty and the Beast,https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(musical)
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Koen van Dijk,,Cyrano: The Musical,https://en.wikipedia.org/wiki/Cyrano:_The_Musical
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Walter Bobbie,https://en.wikipedia.org/wiki/Walter_Bobbie,A Grand Night for Singing,https://en.wikipedia.org/wiki/A_Grand_Night_for_Singing
1994,48th Tony Awards,/wiki/48th_Tony_Awards,True,James Lapine,https://en.wikipedia.org/wiki/James_Lapine,Passion,https://en.wikipedia.org/wiki/Passion_(musical)
1995,49th Tony Awards,/wiki/49th_Tony_Awards,True,Don Black&Christopher Hampton,https://en.wikipedia.org/wiki/Don_Black_(lyricist),Sunset Boulevard,https://en.wikipedia.org/wiki/Sunset_Boulevard_(musical)
1996,50th Tony Awards,/wiki/50th_Tony_Awards,True,Jonathan Larson,https://en.wikipedia.org/wiki/Jonathan_Larson,Rent,https://en.wikipedia.org/wiki/Rent_(musical)
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,"Graciela Daniele,Michael John LaChiusa, & Jim Lewis",https://en.wikipedia.org/wiki/Graciela_Daniele,Chronicle of a Death Foretold,https://en.wikipedia.org/wiki/Chronicle_of_a_Death_Foretold_(musical)
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Reg E. Gaines,,"Bring in 'Da Noise, Bring in 'Da Funk","https://en.wikipedia.org/wiki/Bring_in_%27Da_Noise,_Bring_in_%27Da_Funk"
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,John Weidman,https://en.wikipedia.org/wiki/John_Weidman,Big: The Musical,https://en.wikipedia.org/wiki/Big:_The_Musical
1997,51st Tony Awards,/wiki/51st_Tony_Awards,True,Peter Stone,https://en.wikipedia.org/wiki/Peter_Stone,Titanic,https://en.wikipedia.org/wiki/Titanic_(musical)
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Leslie Bricusse,https://en.wikipedia.org/wiki/Leslie_Bricusse,Jekyll & Hyde,https://en.wikipedia.org/wiki/Jekyll_%26_Hyde_(musical)
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,"Cy Coleman,Ira Gasman& David Newman",https://en.wikipedia.org/wiki/Cy_Coleman,The Life,https://en.wikipedia.org/wiki/The_Life_(musical)
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,David Thompson,https://en.wikipedia.org/wiki/David_Thompson_(writer),Steel Pier,https://en.wikipedia.org/wiki/Steel_Pier_(musical)
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Bill Russell,https://en.wikipedia.org/wiki/Bill_Russell_(lyricist),Side Show,https://en.wikipedia.org/wiki/Side_Show_(musical)
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Nan Knighton,https://en.wikipedia.org/wiki/Nan_Knighton,The Scarlet Pimpernel,https://en.wikipedia.org/wiki/The_Scarlet_Pimpernel_(musical)
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Roger Allers&Irene Mecchi,https://en.wikipedia.org/wiki/Roger_Allers,The Lion King,https://en.wikipedia.org/wiki/The_Lion_King_(musical)
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,True,Terrence McNally,https://en.wikipedia.org/wiki/Terrence_McNally,Ragtime,https://en.wikipedia.org/wiki/Ragtime_(musical)
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,True,Alfred Uhry,https://en.wikipedia.org/wiki/Alfred_Uhry,Parade,https://en.wikipedia.org/wiki/Parade_(musical)
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,"Charles Bevel,Lita Gaithers, Randal Myler,Ron Taylor& Dan Wheetman",https://en.wikipedia.org/wiki/Lita_Gaithers,It Ain't Nothin' But the Blues,https://en.wikipedia.org/wiki/It_Ain%27t_Nothin%27_But_the_Blues
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Walter Bobbie&Dean Pitchford,https://en.wikipedia.org/wiki/Walter_Bobbie,Footloose,https://en.wikipedia.org/wiki/Footloose_(musical)
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Pam Gems,https://en.wikipedia.org/wiki/Pam_Gems,Marlene,
2000,54th Tony Awards,/wiki/54th_Tony_Awards,True,Richard Nelson,https://en.wikipedia.org/wiki/Richard_Nelson_(playwright),James Joyce's The Dead,https://en.wikipedia.org/wiki/James_Joyce%27s_The_Dead
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Michael John LaChiusa,https://en.wikipedia.org/wiki/Michael_John_LaChiusa,Marie Christine,https://en.wikipedia.org/wiki/Marie_Christine
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,LaChiusa &George C. Wolfe,https://en.wikipedia.org/wiki/George_C._Wolfe,The Wild Party,https://en.wikipedia.org/wiki/The_Wild_Party_(LaChiusa_musical)
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,John Weidman,https://en.wikipedia.org/wiki/John_Weidman,Contact,https://en.wikipedia.org/wiki/Contact_(musical)
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Linda Kline &Lonny Price,https://en.wikipedia.org/wiki/Lonny_Price,A Class Act,https://en.wikipedia.org/wiki/A_Class_Act
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Terrence McNally,https://en.wikipedia.org/wiki/Terrence_McNally,The Full Monty,https://en.wikipedia.org/wiki/The_Full_Monty_(musical)
2001,55th Tony Awards,/wiki/55th_Tony_Awards,True,Mel Brooks&Thomas Meehan,https://en.wikipedia.org/wiki/Mel_Brooks,The Producers,https://en.wikipedia.org/wiki/The_Producers_(musical)
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,John Caird,https://en.wikipedia.org/wiki/John_Caird_(director),Jane Eyre,https://en.wikipedia.org/wiki/Jane_Eyre_(musical)
2002,56th Tony Awards,/wiki/56th_Tony_Awards,True,Greg Kotis,https://en.wikipedia.org/wiki/Greg_Kotis,Urinetown,https://en.wikipedia.org/wiki/Urinetown
