year,season,season_link,winner,musical,musical_link,music,music_link,lyrics,lyrics_link
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Sweet Charity,https://en.wikipedia.org/wiki/Sweet_Charity,Cy Coleman,https://en.wikipedia.org/wiki/Cy_Coleman,Dorothy Fields,https://en.wikipedia.org/wiki/Dorothy_Fields
1967,21st Tony Awards,/wiki/21st_Tony_Awards,True,Cabaret,https://en.wikipedia.org/wiki/Cabaret_(musical),John Kander,https://en.wikipedia.org/wiki/John_Kander,Fred Ebb,https://en.wikipedia.org/wiki/Fred_Ebb
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,The Apple Tree,https://en.wikipedia.org/wiki/The_Apple_Tree,Jerry Bock,https://en.wikipedia.org/wiki/Jerry_Bock,Sheldon Harnick,https://en.wikipedia.org/wiki/Sheldon_Harnick
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,I Do! I Do!,https://en.wikipedia.org/wiki/I_Do!_I_Do!,Harvey Schmidt,https://en.wikipedia.org/wiki/Harvey_Schmidt,Tom Jones,https://en.wikipedia.org/wiki/Tom_Jones_(writer)
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Walking Happy,https://en.wikipedia.org/wiki/Walking_Happy,Jimmy Van Heusen,https://en.wikipedia.org/wiki/Jimmy_Van_Heusen,Sammy Cahn,https://en.wikipedia.org/wiki/Sammy_Cahn
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Illya Darling,https://en.wikipedia.org/wiki/Illya_Darling,Manos Hatzidakis,https://en.wikipedia.org/wiki/Manos_Hatzidakis,Joe Darion,https://en.wikipedia.org/wiki/Joe_Darion
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,"How Now, Dow Jones","https://en.wikipedia.org/wiki/How_Now,_Dow_Jones",Elmer Bernstein,https://en.wikipedia.org/wiki/Elmer_Bernstein,Carolyn Leigh,https://en.wikipedia.org/wiki/Carolyn_Leigh
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,True,"Hallelujah, Baby!","https://en.wikipedia.org/wiki/Hallelujah,_Baby!",Jule Styne,https://en.wikipedia.org/wiki/Jule_Styne,Betty Comden&Adolph Green,https://en.wikipedia.org/wiki/Betty_Comden
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,The Happy Time,https://en.wikipedia.org/wiki/The_Happy_Time_(musical),John Kander,https://en.wikipedia.org/wiki/John_Kander,Fred Ebb,https://en.wikipedia.org/wiki/Fred_Ebb
1971,25th Tony Awards,/wiki/25th_Tony_Awards,True,Company,https://en.wikipedia.org/wiki/Company_(musical),Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
