year,season,season_link,winner,designer,designer_link,production,production_link
1970,24th Tony Awards,/wiki/24th_Tony_Awards,True,Cecil Beaton,https://en.wikipedia.org/wiki/Cecil_Beaton,Coco,https://en.wikipedia.org/wiki/Coco_(musical)
1971,25th Tony Awards,/wiki/25th_Tony_Awards,True,Raoul Pene Du Bois,https://en.wikipedia.org/wiki/Raoul_Pene_Du_Bois,"No, No, Nanette","https://en.wikipedia.org/wiki/No,_No,_Nanette"
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Jane Greenwood,https://en.wikipedia.org/wiki/Jane_Greenwood,Hay FeverandLes Blancs,https://en.wikipedia.org/wiki/Hay_Fever_(play)
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Freddy Wittop,https://en.wikipedia.org/wiki/Freddy_Wittop,"Lovely Ladies, Kind Gentlemen","https://en.wikipedia.org/wiki/Lovely_Ladies,_Kind_Gentlemen"
1972,26th Tony Awards,/wiki/26th_Tony_Awards,True,Florence Klotz,https://en.wikipedia.org/wiki/Florence_Klotz,Follies,https://en.wikipedia.org/wiki/Follies
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Theoni V. Aldredge,https://en.wikipedia.org/wiki/Theoni_V._Aldredge,Two Gentlemen of Verona,https://en.wikipedia.org/wiki/Two_Gentlemen_of_Verona_(musical)
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Randy Barceló,https://en.wikipedia.org/wiki/Randy_Barcel%C3%B3,Jesus Christ Superstar,https://en.wikipedia.org/wiki/Jesus_Christ_Superstar
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Carrie F. Robbins,,Grease,https://en.wikipedia.org/wiki/Grease_(musical)
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Miles White,https://en.wikipedia.org/wiki/Miles_White,Tricks,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Patricia Zipprodt,https://en.wikipedia.org/wiki/Patricia_Zipprodt,Pippin,https://en.wikipedia.org/wiki/Pippin_(musical)
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Theoni V. Aldredge,https://en.wikipedia.org/wiki/Theoni_V._Aldredge,Much Ado About Nothing,https://en.wikipedia.org/wiki/Much_Ado_About_Nothing
1973,27th Tony Awards,/wiki/27th_Tony_Awards,True,Florence Klotz,https://en.wikipedia.org/wiki/Florence_Klotz,A Little Night Music,https://en.wikipedia.org/wiki/A_Little_Night_Music
1974,28th Tony Awards,/wiki/28th_Tony_Awards,True,Franne Lee,https://en.wikipedia.org/wiki/Franne_Lee,Candide,https://en.wikipedia.org/wiki/Candide_(operetta)
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Theoni V. Aldredge,https://en.wikipedia.org/wiki/Theoni_V._Aldredge,The Au Pair Man,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Finlay James,,Crown Matrimonial,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Oliver Messel,https://en.wikipedia.org/wiki/Oliver_Messel,Gigi,https://en.wikipedia.org/wiki/Gigi_(musical)
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Carrie F. Robbins,,Over Here!,https://en.wikipedia.org/wiki/Over_Here!
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Patricia Zipprodt,https://en.wikipedia.org/wiki/Patricia_Zipprodt,Mack and Mabel,https://en.wikipedia.org/wiki/Mack_and_Mabel
1975,29th Tony Awards,/wiki/29th_Tony_Awards,True,Geoffrey Holder,https://en.wikipedia.org/wiki/Geoffrey_Holder,The Wiz,https://en.wikipedia.org/wiki/The_Wiz
