year,season,season_link,winner,actress,actress_link,musical,musical_link,character,character_link
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Geula Gill,,The Grand Music Hall of Israel,,Various Characters,
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,True,Marian Mercer,https://en.wikipedia.org/wiki/Marian_Mercer,"Promises, Promises","https://en.wikipedia.org/wiki/Promises,_Promises_(musical)",Marge MacDougall,
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Sandy Duncan,https://en.wikipedia.org/wiki/Sandy_Duncan,Canterbury Tales,https://en.wikipedia.org/wiki/Canterbury_Tales_(musical),Molly / Allison / May / The Sweetheart,
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Lorraine Serabian,,Zorba,https://en.wikipedia.org/wiki/Zorba_(musical),Leader,
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Virginia Vestoff,https://en.wikipedia.org/wiki/Virginia_Vestoff,1776,https://en.wikipedia.org/wiki/1776_(musical),Abigail Adams,https://en.wikipedia.org/wiki/Abigail_Adams
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Penny Fuller,https://en.wikipedia.org/wiki/Penny_Fuller,Applause,https://en.wikipedia.org/wiki/Applause_(musical),Eve Harrington,
1970,24th Tony Awards,/wiki/24th_Tony_Awards,True,Melba Moore,https://en.wikipedia.org/wiki/Melba_Moore,Purlie,https://en.wikipedia.org/wiki/Purlie,Lutiebell Gussie Mae Jenkins,
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Bonnie Franklin,https://en.wikipedia.org/wiki/Bonnie_Franklin,Applause,https://en.wikipedia.org/wiki/Applause_(musical),Bonnie the Gypsy,
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Melissa Hart,https://en.wikipedia.org/wiki/Melissa_Hart_(actress),Georgy,https://en.wikipedia.org/wiki/Georgy_(musical),Meredith,
1971,25th Tony Awards,/wiki/25th_Tony_Awards,True,Patsy Kelly,https://en.wikipedia.org/wiki/Patsy_Kelly,"No, No, Nanette","https://en.wikipedia.org/wiki/No,_No,_Nanette",Pauline,
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Barbara Barrie,https://en.wikipedia.org/wiki/Barbara_Barrie,Company,https://en.wikipedia.org/wiki/Company_(musical),Sarah,
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Pamela Myers,https://en.wikipedia.org/wiki/Pamela_Myers,Company,https://en.wikipedia.org/wiki/Company_(musical),Marta,
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Adrienne Barbeau,https://en.wikipedia.org/wiki/Adrienne_Barbeau,Grease,https://en.wikipedia.org/wiki/Grease_(musical),Betty Rizzo,
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Bernadette Peters,https://en.wikipedia.org/wiki/Bernadette_Peters,On the Town,https://en.wikipedia.org/wiki/On_the_Town_(musical),Hildy Esterhazy,
1972,26th Tony Awards,/wiki/26th_Tony_Awards,True,Linda Hopkins,https://en.wikipedia.org/wiki/Linda_Hopkins,Inner City,,Various Characters,
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Beatrice Winde,https://en.wikipedia.org/wiki/Beatrice_Winde,Ain't Supposed to Die a Natural Death,https://en.wikipedia.org/wiki/Ain%27t_Supposed_to_Die_a_Natural_Death,Various Characters,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Irene Ryan,https://en.wikipedia.org/wiki/Irene_Ryan,Pippin,https://en.wikipedia.org/wiki/Pippin_(musical),Berthe,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Patsy Kelly,https://en.wikipedia.org/wiki/Patsy_Kelly,Irene,https://en.wikipedia.org/wiki/Irene_(musical),Mrs. O'Dare,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,True,Patricia Elliott,https://en.wikipedia.org/wiki/Patricia_Elliott,A Little Night Music,https://en.wikipedia.org/wiki/A_Little_Night_Music,Countess Charlotte Malcolm,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Hermione Gingold,https://en.wikipedia.org/wiki/Hermione_Gingold,A Little Night Music,,Madame Armfeldt,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,True,Janie Sell,https://en.wikipedia.org/wiki/Janie_Sell,Over Here!,https://en.wikipedia.org/wiki/Over_Here!,Mitzi,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Leigh Beery,,Cyrano,https://en.wikipedia.org/wiki/Cyrano_(musical),Roxana,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Maureen Brennan,,Candide,https://en.wikipedia.org/wiki/Candide_(operetta),Cunégonde,https://en.wikipedia.org/wiki/Cun%C3%A9gonde
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,June Gable,https://en.wikipedia.org/wiki/June_Gable,Candide,https://en.wikipedia.org/wiki/Candide_(operetta),The Old Lady,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Ernestine Jackson,https://en.wikipedia.org/wiki/Ernestine_Jackson,Raisin,https://en.wikipedia.org/wiki/Raisin_(musical),Ruth Younger,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Donna Theodore,https://en.wikipedia.org/wiki/Donna_Theodore,Shenandoah,https://en.wikipedia.org/wiki/Shenandoah_(musical),Ann Anderson,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Kelly Garrett,https://en.wikipedia.org/wiki/Kelly_Garrett_(actress),The Night That Made America Famous,https://en.wikipedia.org/wiki/The_Night_That_Made_America_Famous,Various Characters,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Taina Elg,https://en.wikipedia.org/wiki/Taina_Elg,Where's Charley?,https://en.wikipedia.org/wiki/Where%27s_Charley%3F,Donna Lucia D'Alvadorez,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Zan Charisse,,Gypsy,https://en.wikipedia.org/wiki/Gypsy_(musical),Louise,https://en.wikipedia.org/wiki/Gypsy_Rose_Lee
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Susan Browning,https://en.wikipedia.org/wiki/Susan_Browning,Goodtime Charley,https://en.wikipedia.org/wiki/Goodtime_Charley,Agnès Sorel,https://en.wikipedia.org/wiki/Agn%C3%A8s_Sorel
1975,29th Tony Awards,/wiki/29th_Tony_Awards,True,Dee Dee Bridgewater,https://en.wikipedia.org/wiki/Dee_Dee_Bridgewater,The Wiz,https://en.wikipedia.org/wiki/The_Wiz,Glinda,https://en.wikipedia.org/wiki/Glinda_the_Good_Witch
1976,30th Tony Awards,/wiki/30th_Tony_Awards,True,Kelly Bishop,https://en.wikipedia.org/wiki/Kelly_Bishop,A Chorus Line,https://en.wikipedia.org/wiki/A_Chorus_Line,Sheila Bryant,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Priscilla Lopez,https://en.wikipedia.org/wiki/Priscilla_Lopez,A Chorus Line,,Diana Morales,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Patti LuPone,https://en.wikipedia.org/wiki/Patti_LuPone,The Robber Bridegroom,https://en.wikipedia.org/wiki/The_Robber_Bridegroom_(musical),Rosamund Musgrove,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Virginia Seidel,,Very Good Eddie,https://en.wikipedia.org/wiki/Very_Good_Eddie,Elsie Darling,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Julia McKenzie,https://en.wikipedia.org/wiki/Julia_McKenzie,Side by Side by Sondheim,https://en.wikipedia.org/wiki/Side_by_Side_by_Sondheim,Various Characters,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Millicent Martin,https://en.wikipedia.org/wiki/Millicent_Martin,Side by Side by Sondheim,https://en.wikipedia.org/wiki/Side_by_Side_by_Sondheim,Various Characters,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,True,Delores Hall,https://en.wikipedia.org/wiki/Delores_Hall,Your Arms Too Short to Box with God,https://en.wikipedia.org/wiki/Your_Arms_Too_Short_to_Box_with_God,Various Characters,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Ellen Greene,https://en.wikipedia.org/wiki/Ellen_Greene,The Threepenny Opera,https://en.wikipedia.org/wiki/The_Threepenny_Opera,Jenny,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,True,Nell Carter,https://en.wikipedia.org/wiki/Nell_Carter,Ain't Misbehavin',https://en.wikipedia.org/wiki/Ain%27t_Misbehavin%27_(musical),Nell,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Imogene Coca,https://en.wikipedia.org/wiki/Imogene_Coca,On the Twentieth Century,https://en.wikipedia.org/wiki/On_the_Twentieth_Century,Letitia Primrose,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Ann Reinking,https://en.wikipedia.org/wiki/Ann_Reinking,Dancin',https://en.wikipedia.org/wiki/Dancin%27,Various Characters,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Charlayne Woodard,https://en.wikipedia.org/wiki/Charlayne_Woodard,Ain't Misbehavin',,Charlayne,
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,True,Carlin Glynn,https://en.wikipedia.org/wiki/Carlin_Glynn,The Best Little Whorehouse in Texas,https://en.wikipedia.org/wiki/The_Best_Little_Whorehouse_in_Texas,Mona Stangley,
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Joan Ellis,,The Best Little Whorehouse in Texas,,Shy,
