year,season,season_link,winner,actor,actor_link,role,play,play_link,ref,ref_link,role_link
1965,1965,/wiki/19th_Tony_Awards,False,Clarence Williams III,https://en.wikipedia.org/wiki/Clarence_Williams_III,Randall,Slow Dance on the Killing Ground,,[21],https://en.wikipedia.org#cite_note-1965_Awards-22,
1966,1966,/wiki/20th_Tony_Awards,False,Eamon Kelly,https://en.wikipedia.org/wiki/Eamon_Kelly_(actor),S. B. O'Donnell,"Philadelphia, Here I Come!","https://en.wikipedia.org/wiki/Philadelphia,_Here_I_Come!",[22],https://en.wikipedia.org#cite_note-1966_Awards-23,
1966,1966,/wiki/20th_Tony_Awards,False,Larry Haines,https://en.wikipedia.org/wiki/Larry_Haines,Stan Herman,Generation,https://en.wikipedia.org/wiki/Generation_(play),[22],https://en.wikipedia.org#cite_note-1966_Awards-23,
1966,1966,/wiki/20th_Tony_Awards,True,Patrick Magee,https://en.wikipedia.org/wiki/Patrick_Magee_(actor),Marquis de Sade,Marat/Sade,https://en.wikipedia.org/wiki/Marat/Sade,[22],https://en.wikipedia.org#cite_note-1966_Awards-23,https://en.wikipedia.org/wiki/Marquis_de_Sade
1966,1966,/wiki/20th_Tony_Awards,False,Burt Brinckerhoff,https://en.wikipedia.org/wiki/Burt_Brinckerhoff,Igor,Cactus Flower,https://en.wikipedia.org/wiki/Cactus_Flower_(play),[22],https://en.wikipedia.org#cite_note-1966_Awards-23,
1967,1967,/wiki/21st_Tony_Awards,True,Ian Holm,https://en.wikipedia.org/wiki/Ian_Holm,Lenny,The Homecoming,https://en.wikipedia.org/wiki/The_Homecoming,[23],https://en.wikipedia.org#cite_note-1967_Awards-24,
1967,1967,/wiki/21st_Tony_Awards,False,Clayton Corzatte,,Charles Surface,The School for Scandal,https://en.wikipedia.org/wiki/The_School_for_Scandal,[23],https://en.wikipedia.org#cite_note-1967_Awards-24,
1967,1967,/wiki/21st_Tony_Awards,False,Stephen Elliott,https://en.wikipedia.org/wiki/Stephen_Elliott_(actor),Mr. Coulmier,Marat/Sade,https://en.wikipedia.org/wiki/Marat/Sade,[23],https://en.wikipedia.org#cite_note-1967_Awards-24,
1967,1967,/wiki/21st_Tony_Awards,False,Sydney Walker,https://en.wikipedia.org/wiki/Sydney_Walker,Lt. Ekdal,The Wild Duck,https://en.wikipedia.org/wiki/The_Wild_Duck,[23],https://en.wikipedia.org#cite_note-1967_Awards-24,
1968,1968,/wiki/22nd_Tony_Awards,False,John Wood,https://en.wikipedia.org/wiki/John_Wood_(English_actor),Guildenstern,Rosencrantz and Guildenstern Are Dead,,[24],https://en.wikipedia.org#cite_note-1968_Awards-25,https://en.wikipedia.org/wiki/Rosencrantz_and_Guildenstern
1968,1968,/wiki/22nd_Tony_Awards,True,James Patterson,https://en.wikipedia.org/wiki/James_Patterson_(actor),Stanley,The Birthday Party,https://en.wikipedia.org/wiki/The_Birthday_Party_(play),[24],https://en.wikipedia.org#cite_note-1968_Awards-25,
1968,1968,/wiki/22nd_Tony_Awards,False,Paul Hecht,https://en.wikipedia.org/wiki/Paul_Hecht,The Player,Rosencrantz and Guildenstern Are Dead,https://en.wikipedia.org/wiki/Rosencrantz_and_Guildenstern_Are_Dead,[24],https://en.wikipedia.org#cite_note-1968_Awards-25,
1968,1968,/wiki/22nd_Tony_Awards,False,Brian Murray,https://en.wikipedia.org/wiki/Brian_Murray_(actor),Rosencrantz,Rosencrantz and Guildenstern Are Dead,,[24],https://en.wikipedia.org#cite_note-1968_Awards-25,https://en.wikipedia.org/wiki/Rosencrantz_and_Guildenstern
1969,1969,/wiki/23rd_Tony_Awards,True,Al Pacino,https://en.wikipedia.org/wiki/Al_Pacino,Bickham,Does a Tiger Wear a Necktie?,https://en.wikipedia.org/wiki/Does_a_Tiger_Wear_a_Necktie%3F,[25],https://en.wikipedia.org#cite_note-1969_Awards-26,
1969,1969,/wiki/23rd_Tony_Awards,False,Richard S. Castellano,https://en.wikipedia.org/wiki/Richard_S._Castellano,Frank,Lovers and Other Strangers,https://en.wikipedia.org/wiki/Lovers_and_Other_Strangers,[25],https://en.wikipedia.org#cite_note-1969_Awards-26,
1969,1969,/wiki/23rd_Tony_Awards,False,Tony Roberts,https://en.wikipedia.org/wiki/Tony_Roberts_(actor),Dick Christie,"Play It Again, Sam","https://en.wikipedia.org/wiki/Play_It_Again,_Sam_(1972_film)",[25],https://en.wikipedia.org#cite_note-1969_Awards-26,
