year,season,season_link,winner,designer,production,production_link,designer_link
1974,28th Tony Awards,/wiki/28th_Tony_Awards,True,Eugene LeeandFranne Lee,Candide,https://en.wikipedia.org/wiki/Candide_(operetta),https://en.wikipedia.org/wiki/Eugene_Lee_(designer)
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,John Conklin,The Au Pair Man,,https://en.wikipedia.org/wiki/John_Conklin
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Santo Loquasto,What the Wine-Sellers Buy,,https://en.wikipedia.org/wiki/Santo_Loquasto
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Oliver Smith,Gigi,https://en.wikipedia.org/wiki/Gigi_(musical),https://en.wikipedia.org/wiki/Oliver_Smith_(designer)
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Ed Wittstein,Ulysses in Nighttown,https://en.wikipedia.org/wiki/Ulysses_in_Nighttown,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Robin Wagner,Mack and Mabel,https://en.wikipedia.org/wiki/Mack_and_Mabel,https://en.wikipedia.org/wiki/Robin_Wagner_(designer)
1975,29th Tony Awards,/wiki/29th_Tony_Awards,True,Carl Toms,Sherlock Holmes,https://en.wikipedia.org/wiki/Sherlock_Holmes,https://en.wikipedia.org/wiki/Carl_Toms
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Scott Johnson,Dance With Me,https://en.wikipedia.org/wiki/Dance_With_Me_(musical),
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Tanya Moiseiwitsch,The Misanthrope,https://en.wikipedia.org/wiki/The_Misanthrope,https://en.wikipedia.org/wiki/Tanya_Moiseiwitsch
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,William Ritman,God's Favorite,https://en.wikipedia.org/wiki/God%27s_Favorite,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Rouben Ter-Arutunian,Goodtime Charley,https://en.wikipedia.org/wiki/Goodtime_Charley,https://en.wikipedia.org/wiki/Rouben_Ter-Arutunian
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Tony Walton,Chicago,https://en.wikipedia.org/wiki/Chicago_(musical),https://en.wikipedia.org/wiki/Tony_Walton
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,David Mitchell,Trelawny of the 'Wells',https://en.wikipedia.org/wiki/Trelawny_of_the_%27Wells%27,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,True,Boris Aronson,Pacific Overtures,https://en.wikipedia.org/wiki/Pacific_Overtures,https://en.wikipedia.org/wiki/Boris_Aronson
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Ben Edwards,A Matter of Gravity,https://en.wikipedia.org/wiki/A_Matter_of_Gravity,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,True,David Mitchell,Annie,https://en.wikipedia.org/wiki/Annie_(musical),
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Santo Loquasto,American BuffaloandThe Cherry Orchard,https://en.wikipedia.org/wiki/American_Buffalo_(play),https://en.wikipedia.org/wiki/Santo_Loquasto
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Robert Randolph,Porgy and Bess,https://en.wikipedia.org/wiki/Porgy_and_Bess,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Edward Gorey,Dracula,https://en.wikipedia.org/wiki/Dracula_(1924_play),https://en.wikipedia.org/wiki/Edward_Gorey
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,True,Robin Wagner,On the Twentieth Century,https://en.wikipedia.org/wiki/On_the_Twentieth_Century,https://en.wikipedia.org/wiki/Robin_Wagner_(designer)
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Zack Brown,The Importance of Being Earnest,https://en.wikipedia.org/wiki/The_Importance_of_Being_Earnest,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,David Mitchell,Working,https://en.wikipedia.org/wiki/Working_(musical),
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,John Wulp,The Crucifer of Blood,https://en.wikipedia.org/wiki/The_Crucifer_of_Blood,https://en.wikipedia.org/wiki/John_Wulp
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,David Jenkins,The Elephant Man,https://en.wikipedia.org/wiki/The_Elephant_Man_(play),
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,True,Eugene Lee,Sweeney Todd: The Demon Barber of Fleet Street,https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street,https://en.wikipedia.org/wiki/Eugene_Lee_(designer)
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Karl Eigsti,Knockout,,
1980,34th Tony Awards,/wiki/34th_Tony_Awards,True,John Lee Beatty,Talley's Folly,https://en.wikipedia.org/wiki/Talley%27s_Folly,https://en.wikipedia.org/wiki/John_Lee_Beatty
1980,34th Tony Awards,/wiki/34th_Tony_Awards,True,David Mitchell,Barnum,https://en.wikipedia.org/wiki/Barnum_(musical),
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Tazeena Firth andTimothy O'Brien,Evita,https://en.wikipedia.org/wiki/Evita_(musical),https://en.wikipedia.org/wiki/Timothy_O%27Brien_(theatre_designer)
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Tony Walton,A Day in Hollywood / A Night in the Ukraine,https://en.wikipedia.org/wiki/A_Day_in_Hollywood_/_A_Night_in_the_Ukraine,https://en.wikipedia.org/wiki/Tony_Walton
1981,35th Tony Awards,/wiki/35th_Tony_Awards,True,John Bury,Amadeus,https://en.wikipedia.org/wiki/Amadeus_(play),https://en.wikipedia.org/wiki/John_Bury_(theatre_designer)
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,John Lee Beatty,Fifth of July,https://en.wikipedia.org/wiki/Fifth_of_July,https://en.wikipedia.org/wiki/John_Lee_Beatty
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Santo Loquasto,The Suicide,https://en.wikipedia.org/wiki/The_Suicide_(play),https://en.wikipedia.org/wiki/Santo_Loquasto
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,David Mitchell,Can-Can,https://en.wikipedia.org/wiki/Can-Can_(musical),
1982,36th Tony Awards,/wiki/36th_Tony_Awards,True,Dermot Hayes andJohn Napier,The Life and Adventures of Nicholas Nickleby,https://en.wikipedia.org/wiki/The_Life_and_Adventures_of_Nicholas_Nickleby_(play),https://en.wikipedia.org/wiki/John_Napier_(designer)
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Ben Edwards,Medea,https://en.wikipedia.org/wiki/Medea_(play),
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Lawrence Miller,Nine,https://en.wikipedia.org/wiki/Nine_(musical),
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Robin Wagner,Dreamgirls,https://en.wikipedia.org/wiki/Dreamgirls_(musical),https://en.wikipedia.org/wiki/Robin_Wagner_(designer)
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,John Napier,Cats,https://en.wikipedia.org/wiki/Cats_(musical),https://en.wikipedia.org/wiki/John_Napier_(designer)
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,David Mitchell,Foxfire,https://en.wikipedia.org/wiki/Foxfire_(play),
1983,37th Tony Awards,/wiki/37th_Tony_Awards,True,Ming Cho Lee,K2,https://en.wikipedia.org/wiki/K2_(film),https://en.wikipedia.org/wiki/Ming_Cho_Lee
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,John Gunter,All's Well That Ends Well,https://en.wikipedia.org/wiki/All%27s_Well_That_Ends_Well,
1984,38th Tony Awards,/wiki/38th_Tony_Awards,True,Tony Straiges,Sunday in the Park with George,https://en.wikipedia.org/wiki/Sunday_in_the_Park_with_George,https://en.wikipedia.org/wiki/Tony_Straiges
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Clarke Dunham,End of the World,,
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Peter Larkin,The Rink,https://en.wikipedia.org/wiki/The_Rink_(musical),
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Tony Walton,The Real Thing,https://en.wikipedia.org/wiki/The_Real_Thing_(play),https://en.wikipedia.org/wiki/Tony_Walton
1985,39th Tony Awards,/wiki/39th_Tony_Awards,True,Heidi Landesman,Big River,https://en.wikipedia.org/wiki/Big_River_(musical),https://en.wikipedia.org/wiki/Heidi_Landesman
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Clarke Dunham,Grind,https://en.wikipedia.org/wiki/Grind_(musical),
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Ralph Koltai,Much Ado About Nothing,https://en.wikipedia.org/wiki/Much_Ado_About_Nothing,https://en.wikipedia.org/wiki/Ralph_Koltai
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Voytekand Michael Levine,Strange Interlude,https://en.wikipedia.org/wiki/Strange_Interlude,https://en.wikipedia.org/wiki/Voytek_(producer)
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Beni Montresor,The Marriage of Figaro,https://en.wikipedia.org/wiki/The_Marriage_of_Figaro,https://en.wikipedia.org/wiki/Beni_Montresor
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,David Mitchell,The Boys in Winter,,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,True,Tony Walton,The House of Blue Leaves,https://en.wikipedia.org/wiki/The_House_of_Blue_Leaves,https://en.wikipedia.org/wiki/Tony_Walton
