year,season,season_link,winner,designer,production,production_link,award type,designer_link
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,True,Kai Harada,The Band's Visit,https://en.wikipedia.org/wiki/The_Band%27s_Visit_(musical),Best Sound Design of a Musical,
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Brian Ronan,Mean Girls,https://en.wikipedia.org/wiki/Mean_Girls_(musical),Best Sound Design of a Musical,
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,True,Gareth Fry,Harry Potter and the Cursed Child,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Cursed_Child,Best Sound Design of a Play,
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Dan Moses Schreier,The Iceman Cometh,https://en.wikipedia.org/wiki/The_Iceman_Cometh,Best Sound Design of a Play,https://en.wikipedia.org/wiki/Dan_Moses_Schreier
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Eric Sleichim,Network,https://en.wikipedia.org/wiki/Network_(play),Best Sound Design of a Play,
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Peter Hylenski,King Kong,https://en.wikipedia.org/wiki/King_Kong_(2013_musical),Best Sound Design of a Musical,
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Steve Canyon Kennedy,Ain’t Too Proud,https://en.wikipedia.org/wiki/Ain%27t_Too_Proud_(musical),Best Sound Design of a Musical,
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Drew Levy,Oklahoma!,https://en.wikipedia.org/wiki/Oklahoma!,Best Sound Design of a Musical,
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Nick Powell,The Ferryman,https://en.wikipedia.org/wiki/The_Ferryman_(play),Best Sound Design of a Play,
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Scott Lehrer,To Kill a Mockingbird,https://en.wikipedia.org/wiki/To_Kill_a_Mockingbird_(2018_play),Best Sound Design of a Play,
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Adam Cork,Ink,https://en.wikipedia.org/wiki/Ink_(play),Best Sound Design of a Play,
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,True,Fitz Patton,Choir Boy,https://en.wikipedia.org/wiki/Choir_Boy,Best Sound Design of a Play,
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Peter Hylenski,Beetlejuice,https://en.wikipedia.org/wiki/Beetlejuice_(musical),Best Sound Design of a Musical,
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,True,Nevin Steinberg and Jessica Paz,Hadestown,https://en.wikipedia.org/wiki/Hadestown_(musical),Best Sound Design of a Musical,
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Jonathan Deans,Jagged Little Pill,https://en.wikipedia.org/wiki/Jagged_Little_Pill_(musical),Best Sound Design of a Musical,
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Daniel Kluger,Sea Wall/A Life,,Best Sound Design of a Play,
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Peter Hylenski,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Moulin_Rouge!_(musical),Best Sound Design of a Musical,
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Lindsay Jones,Slave Play,https://en.wikipedia.org/wiki/Slave_Play,Best Sound Design of a Play,https://en.wikipedia.org/wiki/Lindsay_Jones_(composer)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Simon Baker,A Christmas Carol,https://en.wikipedia.org/wiki/A_Christmas_Carol_(2017_play),Best Sound Design of a Play,
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Paul Ardittiand Christopher Reid,The Inheritance,https://en.wikipedia.org/wiki/The_Inheritance_(play),Best Sound Design of a Play,https://en.wikipedia.org/wiki/Paul_Arditti
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Daniel Kluger,The Sound Inside,https://en.wikipedia.org/wiki/The_Sound_Inside_(play),Best Sound Design of a Play,
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Nevin Steinberg,Tina - The Tina Turner Musical,https://en.wikipedia.org/wiki/Tina_(musical),Best Sound Design of a Musical,
