year,season,season_link,winner,choreographer,choreographer_link,production,production_link
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Peter Gennaro,https://en.wikipedia.org/wiki/Peter_Gennaro,Little Me,https://en.wikipedia.org/wiki/Little_Me_(musical)
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Tony Tanner,https://en.wikipedia.org/wiki/Tony_Tanner,Joseph and the Amazing Technicolor Dreamcoat,https://en.wikipedia.org/wiki/Joseph_and_the_Amazing_Technicolor_Dreamcoat
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Donald Saddler,https://en.wikipedia.org/wiki/Donald_Saddler,On Your Toes,https://en.wikipedia.org/wiki/On_Your_Toes
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Gillian Lynne,https://en.wikipedia.org/wiki/Gillian_Lynne,Cats,https://en.wikipedia.org/wiki/Cats_(musical)
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,George Faison,https://en.wikipedia.org/wiki/George_Faison,Porgy and Bess,https://en.wikipedia.org/wiki/Porgy_and_Bess
1983,37th Tony Awards,/wiki/37th_Tony_Awards,True,Tommy TuneandThommie Walsh,https://en.wikipedia.org/wiki/Tommy_Tune,My One and Only,https://en.wikipedia.org/wiki/My_One_and_Only_(musical)
1984,38th Tony Awards,/wiki/38th_Tony_Awards,True,Danny Daniels,https://en.wikipedia.org/wiki/Danny_Daniels,The Tap Dance Kid,https://en.wikipedia.org/wiki/The_Tap_Dance_Kid
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Wayne Cilento,https://en.wikipedia.org/wiki/Wayne_Cilento,Baby,https://en.wikipedia.org/wiki/Baby_(musical)
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Graciela Daniele,https://en.wikipedia.org/wiki/Graciela_Daniele,The Rink,https://en.wikipedia.org/wiki/The_Rink_(musical)
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Scott Salmon,,La Cage aux Folles,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical)
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Tango Argentino Dancers,,Tango Argentino,https://en.wikipedia.org/wiki/Tango_Argentino_(musical)
1986,40th Tony Awards,/wiki/40th_Tony_Awards,True,Bob Fosse,https://en.wikipedia.org/wiki/Bob_Fosse,Big Deal,https://en.wikipedia.org/wiki/Big_Deal_(musical)
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Graciela Daniele,https://en.wikipedia.org/wiki/Graciela_Daniele,The Mystery of Edwin Drood,https://en.wikipedia.org/wiki/Drood
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Peter Martins,https://en.wikipedia.org/wiki/Peter_Martins,Song and Dance,https://en.wikipedia.org/wiki/Song_and_Dance
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Ron Field,https://en.wikipedia.org/wiki/Ron_Field,Rags,https://en.wikipedia.org/wiki/Rags_(musical)
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Brian Macdonald,https://en.wikipedia.org/wiki/Brian_Macdonald_(choreographer),The Mikado,https://en.wikipedia.org/wiki/The_Mikado
1987,41st Tony Awards,/wiki/41st_Tony_Awards,True,Gillian Gregory,https://en.wikipedia.org/wiki/Gillian_Gregory,Me and My Girl,https://en.wikipedia.org/wiki/Me_and_My_Girl
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Arlene Phillips,https://en.wikipedia.org/wiki/Arlene_Phillips,Starlight Express,https://en.wikipedia.org/wiki/Starlight_Express
