year,season,season_link,winner,actor,actor_link,musical,musical_link,character,character_link
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Gregg Edelman,https://en.wikipedia.org/wiki/Gregg_Edelman,1776,https://en.wikipedia.org/wiki/1776_(musical),Edward Rutledge,https://en.wikipedia.org/wiki/Edward_Rutledge
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,John McMartin,https://en.wikipedia.org/wiki/John_McMartin,High Society,https://en.wikipedia.org/wiki/High_Society_(musical),Uncle Willie,
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Samuel E. Wright,https://en.wikipedia.org/wiki/Samuel_E._Wright,The Lion King,https://en.wikipedia.org/wiki/The_Lion_King_(musical),Mufasa,
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Scott Wise,https://en.wikipedia.org/wiki/Scott_Wise,Fosse,,Various Characters,
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Ron Taylor,https://en.wikipedia.org/wiki/Ron_Taylor_(actor),It Ain't Nothin' But the Blues,https://en.wikipedia.org/wiki/It_Ain%27t_Nothin%27_But_the_Blues,Various Characters,
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,True,Roger Bart,https://en.wikipedia.org/wiki/Roger_Bart,"You're a Good Man, Charlie Brown","https://en.wikipedia.org/wiki/You%27re_a_Good_Man,_Charlie_Brown",Snoopy,https://en.wikipedia.org/wiki/Snoopy
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Desmond Richardson,https://en.wikipedia.org/wiki/Desmond_Richardson,Fosse,https://en.wikipedia.org/wiki/Fosse_(musical),Various Characters,
2000,54th Tony Awards,/wiki/54th_Tony_Awards,True,Boyd Gaines,https://en.wikipedia.org/wiki/Boyd_Gaines,Contact,https://en.wikipedia.org/wiki/Contact_(musical),Michael Wiley,
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Michael Berresse,https://en.wikipedia.org/wiki/Michael_Berresse,"Kiss Me, Kate","https://en.wikipedia.org/wiki/Kiss_Me,_Kate",Bill Calhoun / Lucentio,
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Michael Mulheren,https://en.wikipedia.org/wiki/Michael_Mulheren,"Kiss Me, Kate","https://en.wikipedia.org/wiki/Kiss_Me,_Kate",Second Man,
