year,season,season_link,winner,actor,musical,character,actor_link,musical_link,character_link
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Barry Nelson,The Act,Dan Conners,https://en.wikipedia.org/wiki/Barry_Nelson,https://en.wikipedia.org/wiki/The_Act_(musical),
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Gilbert Price,Timbuktu!,The Mansa of Mali,https://en.wikipedia.org/wiki/Gilbert_Price,https://en.wikipedia.org/wiki/Timbuktu!,
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Robert Klein,They're Playing Our Song,Vernon Gersch,https://en.wikipedia.org/wiki/Robert_Klein,https://en.wikipedia.org/wiki/They%27re_Playing_Our_Song,
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,True,Len Cariou,Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd,https://en.wikipedia.org/wiki/Len_Cariou,https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street,https://en.wikipedia.org/wiki/Sweeney_Todd
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Vincent Gardenia,Ballroom,Alfred Rossi,https://en.wikipedia.org/wiki/Vincent_Gardenia,https://en.wikipedia.org/wiki/Ballroom_(musical),
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Joel Grey,The Grand Tour,S. L. Jacobowsky,https://en.wikipedia.org/wiki/Joel_Grey,https://en.wikipedia.org/wiki/The_Grand_Tour_(musical),
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Giorgio Tozzi,The Most Happy Fella,Tony,https://en.wikipedia.org/wiki/Giorgio_Tozzi,https://en.wikipedia.org/wiki/The_Most_Happy_Fella,
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Mickey Rooney,Sugar Babies,Mickey,https://en.wikipedia.org/wiki/Mickey_Rooney,https://en.wikipedia.org/wiki/Sugar_Babies_(musical),
1980,34th Tony Awards,/wiki/34th_Tony_Awards,True,Jim Dale,Barnum,P. T. Barnum,https://en.wikipedia.org/wiki/Jim_Dale,https://en.wikipedia.org/wiki/Barnum_(musical),https://en.wikipedia.org/wiki/P._T._Barnum
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Gregory Hines,Comin' Uptown,Scrooge,https://en.wikipedia.org/wiki/Gregory_Hines,,https://en.wikipedia.org/wiki/Ebenezer_Scrooge
1981,35th Tony Awards,/wiki/35th_Tony_Awards,True,Kevin Kline,The Pirates of Penzance,The Pirate King,https://en.wikipedia.org/wiki/Kevin_Kline,https://en.wikipedia.org/wiki/The_Pirates_of_Penzance,
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Gregory Hines,Sophisticated Ladies,Performer,https://en.wikipedia.org/wiki/Gregory_Hines,https://en.wikipedia.org/wiki/Sophisticated_Ladies,
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,George Rose,The Pirates of Penzance,Major-General,https://en.wikipedia.org/wiki/George_Rose_(actor),,
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Martin Vidnovic,Brigadoon,Tommy Albright,https://en.wikipedia.org/wiki/Martin_Vidnovic,https://en.wikipedia.org/wiki/Brigadoon,
1982,36th Tony Awards,/wiki/36th_Tony_Awards,True,Ben Harney,Dreamgirls,Curtis Taylor Jr.,https://en.wikipedia.org/wiki/Ben_Harney_(actor),https://en.wikipedia.org/wiki/Dreamgirls,
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Herschel Bernardi,Fiddler on the Roof,Tevye,https://en.wikipedia.org/wiki/Herschel_Bernardi,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof,https://en.wikipedia.org/wiki/Tevye
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Victor Garber,Little Me,Various Characters,https://en.wikipedia.org/wiki/Victor_Garber,https://en.wikipedia.org/wiki/Little_Me_(musical),
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Raul Julia,Nine,Guido Contini,https://en.wikipedia.org/wiki/Raul_Julia,https://en.wikipedia.org/wiki/Nine_(musical),
1983,37th Tony Awards,/wiki/37th_Tony_Awards,True,Tommy Tune,My One and Only,Captain Billy Buck Chandler,https://en.wikipedia.org/wiki/Tommy_Tune,https://en.wikipedia.org/wiki/My_One_and_Only_(musical),
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Al Green,Your Arms Too Short to Box with God,Performer,https://en.wikipedia.org/wiki/Al_Green,https://en.wikipedia.org/wiki/Your_Arms_Too_Short_to_Box_with_God,
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,George Hearn,A Doll's Life,Various Characters,https://en.wikipedia.org/wiki/George_Hearn,https://en.wikipedia.org/wiki/A_Doll%27s_Life,
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Michael V. Smartt,Porgy and Bess,Porgy,,https://en.wikipedia.org/wiki/Porgy_and_Bess,
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Mandy Patinkin,Sunday in the Park with George,Georges Seurat / George,https://en.wikipedia.org/wiki/Mandy_Patinkin,https://en.wikipedia.org/wiki/Sunday_in_the_Park_with_George,https://en.wikipedia.org/wiki/Georges_Seurat
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Ron Moody,Oliver!,Fagin,https://en.wikipedia.org/wiki/Ron_Moody,https://en.wikipedia.org/wiki/Oliver!,https://en.wikipedia.org/wiki/Fagin
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Gene Barry,La Cage aux Folles,Georges,https://en.wikipedia.org/wiki/Gene_Barry,,
1984,38th Tony Awards,/wiki/38th_Tony_Awards,True,George Hearn,La Cage aux Folles,Albin,https://en.wikipedia.org/wiki/George_Hearn,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical),
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,N/A[1],N/A[1],N/A[1],https://en.wikipedia.org#cite_note-1,https://en.wikipedia.org#cite_note-1,https://en.wikipedia.org#cite_note-1
1986,40th Tony Awards,/wiki/40th_Tony_Awards,True,George Rose,The Mystery of Edwin Drood,Mayor Thomas Sapsea / William Cartwright,https://en.wikipedia.org/wiki/George_Rose_(actor),https://en.wikipedia.org/wiki/Drood,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Don Correia,Singin' in the Rain,Don Lockwood,https://en.wikipedia.org/wiki/Don_Correia,https://en.wikipedia.org/wiki/Singin%27_in_the_Rain_(musical),
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Cleavant Derricks,Big Deal,Charley,https://en.wikipedia.org/wiki/Cleavant_Derricks_(actor),https://en.wikipedia.org/wiki/Big_Deal_(musical),
